WASHINGTON           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: Selected Income and Tax Items by State, ZIP Code and Size of Adjusted Gross Income, Tax Year 2008                                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Money amounts are in thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* indicates that the value in the cell has been suppressed to avoid disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source:  IRS Individual Master File, Statistics of Income, June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Size of Adjusted Gross Income,Zip Code,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,Taxable Interest,Ordinary Dividends,Business or profession net income (less loss),Net capital gain (less loss) in AGI,Taxable Individual Retirement Arrangement distributions,Pensions and annuities in AGI,Unemployment compensation in AGI,Social Security benefits in AGI,Self-employment retirement plans,Total itemized deductions,State and Local Income taxes,State and local general sales taxes,Real estate taxes,Taxes paid,Mortgage Interest paid,Contributions,Taxable income,Total tax credits,Residential Energy Credit,Child tax credit,Child and dependent care credit,Earned income credit,Excess earned income credit (refundable),Alternative minimum tax,Income tax,Total tax liability,Tax due at time of filing,Overpayments refunded,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98841," 4,023 "," 1,607 "," 1,877 "," 8,290 "," 1,550 "," 150,125 "," 108,330 "," 2,836 "," 1,651 "," 6,622 "," 3,315 "," 3,187 "," 12,889 "," 1,240 "," 4,205 ", -   ," 10,914 ", 157 , 863 ," 1,045 "," 2,231 "," 4,489 "," 1,375 "," 90,548 "," 1,153 ", -   , 900 , 60 ," 2,051 "," 1,894 ", 39 ," 12,823 "," 14,311 "," 2,482 "," (7,729)",
"Under $10,000",98841, 854 , 112 , 312 ," 1,113 ", 190 ," 3,617 "," 3,650 ", 182 , 67 , (318), (23), 93 , 514 , 91 , -   , -   , 432 , -   , 24 , 41 , 66 , 147 , 24 , 102 , -   , -   , -   , -   , 394 , 370 , -   , 10 , 58 , 22 , (731),
"$10,000 under $25,000",98841," 1,136 ", 265 , 547 ," 2,206 ", 465 ," 19,508 "," 14,983 ", 486 , 276 , 860 , 45 , 361 ," 2,184 ", 342 , 88 , -   ," 1,080 ", -   , 99 , 90 , 210 , 295 , 54 ," 4,618 ", 76 , -   , 47 , 5 ," 1,354 "," 1,270 ", -   , 413 , 577 , 52 ," (2,695)",
"$25,000 under $50,000",98841," 1,061 ", 430 , 498 ," 2,353 ", 456 ," 38,267 "," 30,560 ", 565 , 325 ," 1,129 ", 199 , 712 ," 3,387 ", 476 ," 1,017 ", -   ," 2,391 ", 28 , 161 , 223 , 423 , 944 , 192 ," 20,050 ", 419 , -   , 339 , 22 , 302 , 253 , -   ," 2,036 "," 2,310 ", 207 ," (2,324)",
"$50,000 under $75,000",98841, 501 , 376 , 230 ," 1,321 ", 225 ," 30,488 "," 22,659 ", 697 , 267 ," 1,458 ", 235 , 636 ," 2,932 ", 290 ," 1,464 ", -   ," 2,311 ", 26 , 195 , 189 , 424 , 915 , 298 ," 19,610 ", 364 , -   , 295 , 21 , -   , -   , -   ," 2,295 "," 2,583 ", 337 ," (1,033)",
"$75,000 under $100,000",98841, 248 , 220 , 137 , 676 , 111 ," 21,323 "," 15,561 ", 343 , 209 ," 1,253 ", 473 , 503 ," 1,844 ", 41 , 865 , -   ," 1,543 ", 30 , 126 , 146 , 315 , 850 , 140 ," 15,527 ", 180 , -   , 150 , 6 , -   , -   , -   ," 2,021 "," 2,262 ", 244 , (500),
"$100,000 under $200,000",98841, 185 , 170 , 119 , 524 , 87 ," 23,781 "," 16,391 ", 406 , 320 ," 2,240 "," 1,004 ", 880 ," 2,028 ", -   , 771 , -   ," 2,365 ", 72 , 199 , 246 , 512 ," 1,040 ", 430 ," 18,727 ", 97 , -   , 69 , 7 , -   , -   , -   ," 3,185 "," 3,463 ", 528 , (447),
"$200,000 or more",98841, 38 , 34 , 34 , 97 , 16 ," 13,140 "," 4,527 ", 155 , 186 , -   ," 1,382 ", -   , -   , -   , -   , -   , 792 , -   , 59 , 110 , 280 , 297 , 236 ," 11,913 ", 18 , -   , -   , -   , -   , -   , 39 ," 2,862 "," 3,059 "," 1,092 ", -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98843, 634 , 326 , 376 ," 1,599 ", 330 ," 32,702 "," 19,285 ", 961 , 237 , 290 ," 1,973 ", 271 , 744 , 186 , 808 , -   ," 3,165 ", -   , 240 , 387 , 669 ," 1,252 ", 198 ," 21,459 ", 283 , -   , 192 , 7 , 224 , 211 , -   ," 3,428 "," 3,654 "," 1,896 "," (1,313)",
"Under $10,000",98843, 115 , 20 , 64 , 118 , 15 , (26), 772 , 38 , 6 , (25), (10), -   , 45 , -   , -   , -   , 377 , -   , -   , -   , 38 , -   , -   , 27 , -   , -   , -   , -   , 26 , 25 , -   , 3 , 22 , -   , (81),
"$10,000 under $25,000",98843, 187 , 54 , 106 , 488 , 125 ," 3,368 "," 3,123 ", 26 , -   , -   , -   , -   , -   , 43 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 640 , 17 , -   , 14 , -   , 150 , 143 , -   , 52 , 63 , 15 , (394),
"$25,000 under $50,000",98843, 158 , 105 , 92 , 507 , 106 ," 5,693 "," 4,855 ", 132 , 75 , 117 , (8), 271 , 190 , 76 , 132 , -   , 397 , -   , 28 , 79 , 78 , 114 , 36 ," 2,232 ", 95 , -   , 82 , 7 , 48 , 44 , -   , 161 , 180 , 31 , (387),
"$50,000 under $75,000",98843, 74 , 58 , 48 , 215 , 42 ," 4,582 "," 3,336 ", 84 , 21 , 209 , 32 , -   , 509 , 67 , 279 , -   , 585 , -   , 39 , 65 , 116 , 255 , 27 ," 2,739 ", 63 , -   , 50 , -   , -   , -   , -   , 296 , 347 , 77 , (167),
"$75,000 under $100,000",98843, 39 , 36 , 24 , 116 , 21 ," 3,318 "," 2,325 ", 78 , -   , (11), -   , -   , -   , -   , 184 , -   , 549 , -   , 35 , 81 , 134 , 283 , 43 ," 2,185 ", 39 , -   , 45 , -   , -   , -   , -   , 247 , 266 , -   , (108),
"$100,000 under $200,000",98843, 47 , 41 , 29 , 121 , 21 ," 6,190 "," 4,874 ", 241 , 135 , -   ," 1,960 ", -   , -   , -   , 212 , -   ," 1,257 ", -   , 137 , 162 , 303 , 599 , 91 ," 4,574 ", 69 , -   , -   , -   , -   , -   , -   , 752 , 821 , 158 , (175),
"$200,000 or more",98843, 14 , 12 , 13 , 34 , -   ," 9,577 ", -   , 363 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,062 ", -   , -   , -   , -   , -   , -   , -   ," 1,918 "," 1,956 "," 1,615 ", -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98844," 1,813 ", 887 , 920 ," 3,799 ", 619 ," 69,016 "," 44,326 "," 2,605 "," 1,114 "," 1,936 "," 6,809 "," 1,597 "," 6,678 ", 709 ," 2,449 ", -   ," 6,003 ", 80 , 381 , 506 ," 1,062 "," 2,117 ", 638 ," 42,296 ", 499 , -   , 378 , 12 , 710 , 638 , -   ," 5,682 "," 6,439 "," 1,390 "," (3,134)",
"Under $10,000",98844, 412 , 93 , 169 , 570 , 70 , 805 ," 1,643 ", 232 , 86 , (106), 22 , 44 , 337 , 41 , -   , -   , 554 , -   , -   , 30 , 55 , 143 , -   , 33 , -   , -   , -   , -   , 139 , 130 , -   , 3 , 67 , 38 , (291),
"$10,000 under $25,000",98844, 529 , 176 , 239 ," 1,036 ", 191 ," 9,054 "," 6,860 ", 299 , 127 , 409 , 107 , 139 ," 1,156 ", 213 , 48 , -   , 600 , 15 , 26 , 42 , 82 , 237 , 72 ," 2,041 ", 23 , -   , 17 , -   , 463 , 417 , -   , 191 , 290 , 27 , (980),
"$25,000 under $50,000",98844, 434 , 256 , 238 ," 1,023 ", 179 ," 15,569 "," 11,218 ", 479 , 239 , 658 , 267 , 343 ," 1,777 ", 312 , 526 , -   ," 1,163 ", -   , 56 , 133 , 205 , 429 , 119 ," 7,422 ", 151 , -   , 131 , 5 , 108 , 91 , -   , 707 , 846 , 86 , (910),
"$50,000 under $75,000",98844, 190 , 150 , 121 , 503 , 81 ," 11,747 "," 7,577 ", 351 , 162 , 395 , 248 , 328 ," 1,657 ", 91 , 676 , -   , 906 , 21 , 40 , 52 , 116 , 269 , 96 ," 7,563 ", 132 , -   , 112 , 7 , -   , -   , -   , 874 ," 1,019 ", 164 , (353),
"$75,000 under $100,000",98844, 136 , 111 , 73 , 363 , 56 ," 11,619 "," 8,374 ", 320 , 179 , 32 , 303 , 372 , 928 , 52 , 633 , -   ," 1,282 ", -   , 110 , 93 , 245 , 540 , 155 ," 8,199 ", 110 , -   , 86 , -   , -   , -   , -   ," 1,066 "," 1,166 ", 151 , (388),
"$100,000 under $200,000",98844, 89 , 79 , 57 , 241 , 42 ," 11,389 "," 6,849 ", 368 , 62 , 548 ," 1,225 ", 371 , 823 , -   , 566 , -   , 973 , 43 , 113 , 92 , 251 , 498 , 129 ," 9,006 ", 82 , -   , 32 , -   , -   , -   , -   ," 1,443 "," 1,576 ", 358 , (212),
"$200,000 or more",98844, 23 , 22 , 23 , 63 , -   ," 8,832 "," 1,805 ", 556 , 259 , -   ," 4,637 ", -   , -   , -   , -   , -   , 525 , -   , 36 , 63 , 108 , -   , 67 ," 8,034 ", -   , -   , -   , -   , -   , -   , -   ," 1,397 "," 1,475 ", 564 , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98846, 516 , 241 , 258 ," 1,109 ", 200 ," 20,284 "," 15,243 ", 387 , 176 , 518 , 287 , 263 ," 1,350 ", 153 , 391 , -   ," 1,520 ", -   , 94 , 156 , 382 , 518 , 96 ," 12,164 ", 148 , -   , 105 , -   , 160 , 139 , -   ," 1,684 "," 1,851 ", 119 , (867),
"Under $10,000",98846, 100 , 17 , 38 , 99 , -   , 212 , 400 , 23 , 16 , 63 , 36 , 22 , -   , -   , -   , -   , 222 , -   , -   , 28 , 37 , -   , -   , 30 , -   , -   , -   , -   , 9 , 8 , -   , 2 , 15 , 9 , (41),
"$10,000 under $25,000",98846, 138 , 32 , 64 , 283 , 74 ," 2,471 "," 1,972 ", 75 , 15 , -   , 23 , -   , 186 , 32 , -   , -   , -   , -   , 10 , -   , -   , 153 , -   , 558 , 11 , -   , 8 , -   , 112 , 98 , -   , 46 , 62 , 9 , (255),
"$25,000 under $50,000",98846, 141 , 79 , 79 , 358 , 65 ," 5,024 "," 3,984 ", 134 , 30 , 132 , 71 , 240 , 473 , 52 , 158 , -   , 178 , -   , -   , -   , 38 , -   , -   ," 2,408 ", 51 , -   , 37 , -   , 40 , 33 , -   , 234 , 267 , 23 , (262),
"$50,000 under $75,000",98846, 64 , 48 , 36 , 165 , 27 ," 3,945 "," 2,811 ", 18 , 83 , -   , 61 , -   , 492 , 68 , 233 , -   , 326 , -   , 16 , 43 , 65 , 126 , 53 ," 2,564 ", 54 , -   , 36 , -   , -   , -   , -   , 290 , 313 , 50 , (133),
"$75,000 under $100,000",98846, 30 , 26 , 15 , 82 , 13 ," 2,583 "," 1,867 ", 15 , -   , 323 , -   , -   , 198 , -   , -   , -   , 217 , -   , -   , 17 , 42 , -   , -   ," 1,882 ", 31 , -   , 24 , -   , -   , -   , -   , 244 , 288 , -   , (60),
"$100,000 under $200,000",98846, 43 , 39 , 26 , 122 , 21 ," 6,048 "," 4,209 ", 122 , 31 , -   , 95 , -   , -   , -   , -   , -   , 578 , -   , 69 , 67 , 200 , 239 , 43 ," 4,723 ", -   , -   , -   , -   , -   , -   , -   , 867 , 906 , 28 , (115),
"$200,000 or more",98846, * , * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98847, 888 , 371 , 410 ," 1,882 ", 348 ," 35,489 "," 24,068 ", 924 , 367 ," 1,068 ", 422 , 600 ," 1,939 ", 460 , 719 , -   ," 4,024 ", 36 , 356 , 359 , 894 ," 1,596 ", 519 ," 21,189 ", 246 , -   , 191 , 10 , 315 , 288 , -   ," 3,079 "," 3,454 ", 896 ," (1,888)",
"Under $10,000",98847, 170 , 19 , 58 , 173 , 28 , 570 , 695 , 44 , 25 , 23 , (25), -   , 55 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 28 , 35 , -   , -   , -   , -   , 56 , 51 , -   , 3 , 21 , 13 , (107),
"$10,000 under $25,000",98847, 251 , 45 , 111 , 478 , 103 ," 4,288 "," 3,658 ", 81 , 25 , 123 , 1 , 91 , 221 , 118 , -   , -   , 329 , -   , 13 , 29 , 46 , 109 , -   ," 1,082 ", 15 , -   , 9 , -   , 197 , 183 , -   , 101 , 131 , 18 , (449),
"$25,000 under $50,000",98847, 253 , 128 , 109 , 635 , 118 ," 8,945 "," 7,369 ", 146 , 50 , 165 , (3), 187 , 578 , 230 , 194 , -   , 982 , -   , 54 , 98 , 158 , 429 , 78 ," 4,103 ", 100 , -   , 78 , 10 , 62 , 54 , -   , 388 , 447 , 31 , (715),
"$50,000 under $75,000",98847, 110 , 87 , 65 , 315 , 53 ," 6,831 "," 5,204 ", 255 , 91 , 214 , (11), 162 , 473 , 60 , 325 , -   , 929 , 36 , 58 , 104 , 191 , 486 , 129 ," 4,231 ", 77 , -   , 64 , -   , -   , -   , -   , 493 , 553 , 64 , (268),
"$75,000 under $100,000",98847, 46 , 39 , 23 , 116 , 19 ," 3,921 "," 2,647 ", 144 , 34 , -   , -   , 160 , 433 , 53 , 200 , -   , 657 , -   , 55 , 50 , 108 , 264 , 97 ," 2,672 ", 29 , -   , 19 , -   , -   , -   , -   , 359 , 372 , 33 , (134),
"$100,000 under $200,000",98847, 44 , 40 , 32 , 131 , 27 ," 5,732 "," 3,104 ", 111 , 142 , 543 , 460 , -   , 179 , -   , -   , -   , 807 , -   , 176 , 78 , 259 , 308 , 187 ," 4,318 ", 25 , -   , 20 , -   , -   , -   , -   , 709 , 835 , 737 , (215),
"$200,000 or more",98847, 14 , 13 , 12 , 34 , -   ," 5,203 "," 1,391 ", 143 , -   , -   , -   , -   , -   , -   , -   , -   , 321 , -   , -   , -   , 133 , -   , -   ," 4,747 ", -   , -   , -   , -   , -   , -   , -   ," 1,025 "," 1,095 ", -   , -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98848," 4,255 "," 1,917 "," 2,590 "," 10,508 "," 2,121 "," 195,890 "," 119,201 "," 6,289 "," 2,874 "," 1,806 "," 13,911 "," 3,008 "," 8,454 "," 1,999 "," 4,966 ", 212 ," 15,064 ", 191 , 983 ," 1,415 "," 2,672 "," 5,157 "," 3,000 "," 124,924 "," 1,775 ", -   ," 1,283 ", 61 ," 1,865 "," 1,704 ", 74 ," 20,493 "," 22,321 "," 9,669 "," (8,839)",
"Under $10,000",98848, 752 , 103 , 411 , 943 , 170 ," 2,277 "," 4,124 ", 404 , 127 , (940), 441 , 54 , 371 , 80 , -   , -   ," 1,194 ", -   , 53 , 116 , 187 , 377 , 19 , 142 , -   , -   , -   , -   , 300 , 280 , -   , 18 , 112 , 44 , (842),
"$10,000 under $25,000",98848," 1,226 ", 294 , 750 ," 2,892 ", 692 ," 21,161 "," 17,883 ", 342 , 181 , 543 , 41 , 331 ," 1,225 ", 585 , 47 , -   ," 1,260 ", 8 , 86 , 107 , 210 , 328 , 143 ," 4,203 ", 91 , -   , 57 , 6 ," 1,228 "," 1,140 ", -   , 355 , 511 , 70 ," (2,769)",
"$25,000 under $50,000",98848," 1,209 ", 634 , 739 ," 3,628 ", 760 ," 43,343 "," 36,809 ", 673 , 316 , 566 , 66 , 591 ," 2,180 ", 715 , 923 , -   ," 2,459 ", 17 , 96 , 221 , 361 ," 1,089 ", 211 ," 18,894 ", 655 , -   , 576 , 26 , 338 , 284 , -   ," 1,581 "," 1,789 ", 174 ," (3,042)",
"$50,000 under $75,000",98848, 530 , 411 , 304 ," 1,583 ", 282 ," 31,880 "," 25,703 ", 565 , 352 , 581 , 165 , 736 ," 1,376 ", 386 ," 1,288 ", -   ," 2,972 ", 36 , 160 , 269 , 476 ," 1,247 ", 482 ," 19,590 ", 500 , -   , 440 , 17 , -   , -   , -   ," 2,142 "," 2,345 ", 264 ," (1,175)",
"$75,000 under $100,000",98848, 248 , 221 , 156 , 699 , 105 ," 21,570 "," 14,550 ", 705 , 371 , 639 , 455 , 438 ," 1,588 ", 148 ," 1,114 ", 212 ," 2,324 ", 40 , 189 , 201 , 465 , 896 , 483 ," 15,251 ", 198 , -   , 151 , 12 , -   , -   , -   ," 1,958 "," 2,154 ", 310 , (426),
"$100,000 under $200,000",98848, 194 , 172 , 136 , 520 , 80 ," 25,179 "," 15,200 ", 857 , 510 , 405 , 933 , 726 ," 1,495 ", 86 , 943 , -   ," 2,549 ", 90 , 226 , 287 , 593 , 886 , 627 ," 19,832 ", 93 , -   , 59 , -   , -   , -   , -   ," 3,406 "," 3,610 ", 876 , (585),
"$200,000 or more",98848, 96 , 82 , 94 , 243 , 32 ," 50,479 "," 4,933 "," 2,744 "," 1,016 ", 12 ," 11,810 ", 133 , 219 , -   , 651 , -   ," 2,306 ", -   , 173 , 214 , 381 , 334 ," 1,035 "," 47,011 ", 239 , -   , -   , -   , -   , -   , 74 ," 11,033 "," 11,800 "," 7,931 ", -   ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98849, 423 , 199 , 226 , 819 , 122 ," 13,309 "," 9,247 ", 172 , 48 , 148 , 71 , 232 ," 1,934 ", 172 , 510 , -   ," 1,140 ", -   , 70 , 75 , 192 , 393 , 50 ," 7,272 ", 77 , -   , 61 , -   , 182 , 167 , -   , 888 , 966 , 60 , (771),
"Under $10,000",98849, 88 , 19 , 42 , 117 , 12 , 207 , 471 , 18 , 26 , 11 , (28), 79 , 50 , -   , -   , -   , 164 , -   , -   , -   , 23 , -   , -   , -   , -   , -   , -   , -   , 24 , 21 , -   , -   , 6 , 4 , (67),
"$10,000 under $25,000",98849, 126 , 41 , 66 , 241 , 42 ," 2,141 "," 1,648 ", 17 , -   , 96 , -   , -   , 327 , 28 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 468 , 6 , -   , -   , -   , 128 , 119 , -   , 43 , 61 , -   , (273),
"$25,000 under $50,000",98849, 111 , 62 , 60 , 234 , 36 ," 3,969 "," 3,062 ", 81 , 7 , 37 , 17 , 153 , 569 , 66 , 153 , -   , 282 , -   , 18 , 20 , 47 , 130 , 21 ," 1,997 ", 29 , -   , 25 , -   , 30 , 27 , -   , 207 , 228 , 14 , (228),
"$50,000 under $75,000",98849, 68 , 50 , 37 , 157 , 22 ," 4,043 "," 2,681 ", 51 , 15 , 5 , 82 , -   , 668 , 78 , 357 , -   , 424 , -   , 52 , 31 , 75 , 143 , 29 ," 2,583 ", 43 , -   , 36 , -   , -   , -   , -   , 308 , 339 , 42 , (150),
"$75,000 under $100,000",98849, 30 , 27 , 21 , 70 , 10 ," 2,950 "," 1,385 ", 6 , -   , -   , -   , -   , 319 , -   , -   , -   , 270 , -   , -   , 25 , 47 , 120 , -   ," 2,223 ", -   , -   , -   , -   , -   , -   , -   , 330 , 331 , -   , (54),
"$100,000 under $200,000",98849, * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
"$200,000 or more",98849, * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98850, 682 , 283 , 385 ," 1,613 ", 330 ," 22,343 "," 18,263 ", 184 , 43 , 575 , 41 , -   , 981 , 362 , 389 , -   ," 1,533 ", -   , 104 , 212 , 389 , 676 , 96 ," 11,685 ", 228 , -   , 202 , 8 , 368 , 339 , -   ," 1,499 "," 1,687 ", 90 ," (1,394)",
"Under $10,000",98850, 116 , 22 , 62 , 163 , 30 , 356 , 509 , 43 , 27 , 83 , (16), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 23 , -   , -   , -   , -   , 68 , 63 , -   , -   , 39 , -   , (106),
"$10,000 under $25,000",98850, 235 , 46 , 137 , 507 , 118 ," 4,071 "," 3,413 ", 28 , 4 , 205 , -   , -   , 326 , 114 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 925 , 21 , -   , 15 , -   , 235 , 222 , -   , 79 , 114 , 12 , (514),
"$25,000 under $50,000",98850, 207 , 116 , 113 , 602 , 123 ," 7,545 "," 6,585 ", 37 , 6 , 247 , 44 , -   , 282 , 173 , 138 , -   , 514 , -   , 30 , 66 , 100 , 234 , 40 ," 3,437 ", 116 , -   , 103 , 8 , 64 , 54 , -   , 298 , 342 , 38 , (496),
"$50,000 under $75,000",98850, 77 , 57 , 42 , 222 , 41 ," 4,604 "," 3,987 ", 22 , -   , 40 , -   , -   , 373 , 76 , 251 , -   , 303 , -   , 36 , 34 , 58 , 144 , 13 ," 2,906 ", 71 , -   , 68 , -   , -   , -   , -   , 336 , 364 , 24 , (202),
"$75,000 under $100,000",98850, 26 , 21 , 17 , 64 , 18 ," 2,220 "," 1,675 ", 15 , 6 , -   , 13 , -   , -   , -   , -   , -   , 281 , -   , -   , 40 , 73 , 99 , -   ," 1,580 ", 21 , -   , 16 , -   , -   , -   , -   , 213 , 232 , 16 , (34),
"$100,000 under $200,000",98850, 21 , 21 , 14 , 55 , -   ," 3,546 "," 2,093 ", 40 , -   , -   , -   , -   , -   , -   , -   , -   , 435 , -   , 39 , 73 , 158 , 200 , 44 ," 2,814 ", -   , -   , -   , -   , -   , -   , -   , 574 , 596 , -   , (41),
"$200,000 or more",98850, * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98851," 1,574 ", 701 , 765 ," 3,248 ", 514 ," 55,811 "," 38,033 "," 1,450 ", 513 ," 1,394 "," 1,825 "," 1,095 "," 6,984 ", 476 ," 2,080 ", -   ," 4,590 ", 63 , 275 , 482 , 920 ," 1,873 ", 531 ," 32,515 ", 355 , -   , 283 , -   , 645 , 570 , -   ," 4,369 "," 4,765 ", 600 ," (2,669)",
"Under $10,000",98851, 334 , 61 , 119 , 445 , 57 ," 1,254 "," 1,236 ", 97 , 47 , 74 , (15), 36 , 269 , 51 , -   , -   , 267 , -   , -   , 25 , 41 , 111 , -   , 52 , -   , -   , -   , -   , 103 , 97 , -   , 5 , 44 , 10 , (207),
"$10,000 under $25,000",98851, 475 , 145 , 244 , 927 , 170 ," 8,222 "," 5,791 ", 308 , 100 , 373 , 6 , 195 ," 1,376 ", 128 , 56 , -   , 465 , -   , 22 , 40 , 66 , 141 , 56 ," 1,938 ", 27 , -   , 17 , -   , 445 , 399 , -   , 180 , 247 , 23 , (902),
"$25,000 under $50,000",98851, 392 , 204 , 200 , 940 , 149 ," 14,234 "," 10,197 ", 307 , 99 , 447 , 99 , 322 ," 1,971 ", 186 , 573 , -   ," 1,079 ", 28 , 52 , 119 , 205 , 426 , 83 ," 6,980 ", 120 , -   , 102 , -   , 98 , 73 , -   , 719 , 804 , 57 , (757),
"$50,000 under $75,000",98851, 202 , 146 , 100 , 502 , 76 ," 12,447 "," 8,999 ", 260 , 135 , 279 , 124 , 246 ," 1,458 ", 111 , 719 , -   , 915 , -   , 56 , 86 , 156 , 410 , 94 ," 8,241 ", 112 , -   , 94 , -   , -   , -   , -   ," 1,026 "," 1,105 ", 96 , (402),
"$75,000 under $100,000",98851, 93 , 77 , 51 , 242 , 38 ," 8,108 "," 5,742 ", 245 , 84 , 191 , 97 , 296 , 993 , -   , 302 , -   , 804 , 35 , 49 , 79 , 153 , 358 , 95 ," 5,887 ", 67 , -   , 50 , -   , -   , -   , -   , 806 , 846 , 87 , (222),
"$100,000 under $200,000",98851, 78 , 68 , 51 , 192 , 24 ," 11,546 "," 6,068 ", 235 , 48 , 30 ," 1,514 ", -   , 917 , -   , 430 , -   ," 1,060 ", -   , 95 , 133 , 300 , 426 , 203 ," 9,418 ", 29 , -   , 21 , -   , -   , -   , -   ," 1,634 "," 1,719 ", 327 , (180),
"$200,000 or more",98851, * , * , * , * , * , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . , . ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98855," 2,361 "," 1,183 "," 1,061 "," 4,889 ", 755 ," 90,698 "," 55,454 "," 2,526 ", 922 ," 3,978 "," 5,448 "," 1,869 "," 8,737 "," 1,126 "," 2,472 ", -   ," 7,537 ", 71 , 441 , 616 ," 1,289 "," 2,555 ", 824 ," 51,245 ", 551 , -   , 408 , 18 , 938 , 822 , -   ," 7,944 "," 8,991 "," 1,907 "," (3,792)",
"Under $10,000",98855, 511 , 137 , 190 , 685 , 81 ," 1,187 "," 2,042 ", 254 , 100 , 129 , 150 , 47 , 265 , 76 , -   , -   , 407 , -   , 8 , 36 , 48 , 117 , -   , 87 , -   , -   , -   , -   , 155 , 136 , -   , 10 , 67 , 21 , (342),
"$10,000 under $25,000",98855, 737 , 268 , 315 ," 1,454 ", 244 ," 12,659 "," 9,168 ", 432 , 148 , 585 , 147 , 356 ," 1,783 ", 322 , 57 , -   ," 1,160 ", -   , 33 , 57 , 149 , 232 , 67 ," 2,841 ", 33 , -   , 20 , -   , 626 , 570 , -   , 270 , 418 , 81 ," (1,389)",
"$25,000 under $50,000",98855, 580 , 335 , 281 ," 1,364 ", 218 ," 20,838 "," 14,945 ", 582 , 217 ," 1,395 ", 342 , 369 ," 2,427 ", 371 , 640 , -   ," 1,666 ", 28 , 72 , 134 , 220 , 571 , 164 ," 10,000 ", 181 , -   , 147 , 8 , 157 , 117 , -   , 999 ," 1,282 ", 176 ," (1,046)",
"$50,000 under $75,000",98855, 282 , 215 , 135 , 694 , 104 ," 17,270 "," 12,310 ", 458 , 80 , 761 , 189 , 314 ," 2,130 ", 230 , 775 , -   ," 1,663 ", -   , 125 , 132 , 277 , 636 , 192 ," 11,157 ", 164 , -   , 128 , 9 , -   , -   , -   ," 1,352 "," 1,584 ", 281 , (525),
"$75,000 under $100,000",98855, 128 , 117 , 69 , 347 , 53 ," 11,062 "," 7,734 ", 225 , 61 , 632 , 146 , 362 ," 1,127 ", 126 , 448 , -   , 906 , 43 , 68 , 98 , 200 , 425 , 119 ," 8,005 ", 97 , -   , 73 , -   , -   , -   , -   ," 1,036 "," 1,164 ", 155 , (214),
"$100,000 under $200,000",98855, 105 , 94 , 56 , 292 , 55 ," 13,322 "," 8,461 ", 260 , 272 , 475 , 914 , 421 ," 1,005 ", -   , 551 , -   ," 1,371 ", -   , 136 , 111 , 284 , 574 , 205 ," 10,365 ", 77 , -   , 39 , -   , -   , -   , -   ," 1,716 "," 1,866 ", 350 , (277),
