adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,total_tax_number_of_returns,total_tax_amount,contributions_number_of_returns,contributions_amount,schedule_c_number_of_returns,schedule_f_number_of_returns,schedule_a_deductions_number_of_returns
"$50,000 or more      ",123,355,121,"10,088",111,"7,453",85,460,123,"1,374",58,139,12,20,67
,,,,,,,,,,,,,,,
99031,520,"1,091",353,"18,647",423,"14,414",301,570,362,"1,765",122,461,86,48,148
"Under $10,000        ",131,106,20,27,96,523,56,78,26,5,*       11,*       26,14,*       16,**
"$10,000 under $25,000",112,202,54,"1,911",85,"1,350",51,57,80,75,**,**,19,**,*       18
"$25,000 under $50,000",128,324,109,"4,743",109,"3,721",77,166,110,276,37,140,23,20,45
"$50,000 or more      ",149,459,170,"11,966",133,"8,820",117,269,146,"1,409",74,295,30,12,85
,,,,,,,,,,,,,,,
99032,309,619,181,"8,985",252,"6,775",159,313,212,787,33,67,35,29,43
"Under $10,000        ",59,64,13,-70,45,194,23,26,13,14,**,**,*       14,*       18,**
"$10,000 under $25,000",118,209,54,"1,923",88,"1,250",56,89,75,58,*       18,*       39,**,**,*       15
"$25,000 under $50,000",69,162,50,"2,511",64,"2,028",36,55,62,168,**,**,*       21,**,12
"$50,000 or more      ",63,184,64,"4,621",55,"3,303",44,143,62,547,15,28,**,11,16
,,,,,,,,,,,,,,,
99033,369,754,235,"11,562",301,"7,713",196,410,247,"1,167",46,66,43,18,55
"Under $10,000        ",93,110,25,-98,64,303,44,49,20,3,*       11,*       19,12,**,*       16
"$10,000 under $25,000",115,224,72,"2,014",93,"1,444",44,106,74,64,**,**,*       18,*       18,**
"$25,000 under $50,000",88,201,58,"3,080",77,"2,225",47,80,80,198,14,17,**,**,16
"$50,000 or more      ",73,219,80,"6,566",67,"3,741",61,175,73,902,21,30,13,**,23
,,,,,,,,,,,,,,,
99034,101,242,95,"2,759",84,"2,342",46,49,63,187,13,28,23,**,23
"Under $10,000        ",23,34,12,53,15,92,**,**,**,**,--,--,*       11,**,**
"$10,000 under $25,000",33,83,35,605,29,535,*       21,*       20,*       23,*         17,**,**,**,**,**
"$25,000 under $50,000",29,78,30,"1,006",25,766,10,12,24,53,*       13,*       28,*       12,**,*       23
"$50,000 or more      ",16,47,18,"1,095",15,949,15,17,16,117,**,**,**,**,**
,,,,,,,,,,,,,,,
99036,625,"1,321",449,"30,312",513,"25,435",426,999,484,"4,856",203,831,121,54,235
"Under $10,000        ",133,74,13,"-3,128",97,393,57,84,49,10,**,**,13,*       10,**
"$10,000 under $25,000",127,195,40,"2,065",93,"1,470",68,72,86,74,*       17,*       26,23,**,*       26
"$25,000 under $50,000",102,239,78,"3,740",85,"2,856",74,125,90,246,27,43,22,13,31
"$50,000 or more      ",263,813,318,"27,635",238,"20,716",227,718,259,"4,526",159,762,63,31,178
,,,,,,,,,,,,,,,
99037,"5,726","12,009","4,070","271,053","4,895","209,340","3,216","6,166","4,450","32,563","2,033","6,358",804,29,"2,293"
"Under $10,000        ","1,094",870,196,"3,927",880,"4,562",401,371,322,63,37,60,108,*       13,69
"$10,000 under $25,000","1,294","2,067",551,"22,538","1,027","16,666",484,755,917,876,156,307,115,**,189
"$25,000 under $50,000","1,284","2,774",886,"47,068","1,089","36,175",708,"1,037","1,176","3,225",420,782,196,**,504
"$50,000 or more      ","2,054","6,298","2,437","197,520","1,899","151,937","1,623","4,003","2,035","28,399","1,420","5,209",385,16,"1,531"
,,,,,,,,,,,,,,,
99039,64,135,45,"1,928",56,"1,630",28,58,52,111,11,12,**,**,13
"Under $10,000        ",11,7,0,77,**,**,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",19,34,9,328,*       26,*        354,**,**,*       19,*         13,**,**,**,**,**
"$25,000 under $50,000",23,52,16,853,20,668,*       28,*       58,22,51,*       11,*       12,**,**,*       13
"$50,000 or more      ",11,42,20,670,10,608,**,**,11,47,**,**,**,**,**
,,,,,,,,,,,,,,,
99040,437,987,482,"11,683",410,"10,509",56,36,284,778,**,**,43,**,17
"Under $10,000        ",95,124,44,332,81,427,*       16,*       18,22,4,--,--,*       14,--,**
"$10,000 under $25,000",145,324,167,"2,640",138,"2,273",**,**,81,73,--,--,**,**,--
"$25,000 under $50,000",147,361,184,"5,158",143,"4,694",15,6,132,322,**,**,*       29,**,*       17
"$50,000 or more      ",50,178,87,"3,553",48,"3,115",25,12,49,379,**,**,**,**,**
,,,,,,,,,,,,,,,
99101,534,"1,246",449,"13,548",421,"10,409",256,552,313,"1,011",54,209,102,69,82
"Under $10,000        ",149,226,68,-130,97,559,52,140,25,3,**,**,28,23,*       17
"$10,000 under $25,000",153,351,116,"2,616",118,"1,732",63,146,88,70,**,**,28,15,**
"$25,000 under $50,000",160,467,196,"5,836",143,"4,496",90,126,130,316,*       32,*      110,32,*       31,36
"$50,000 or more      ",72,202,69,"5,226",63,"3,622",51,140,70,622,22,99,14,**,29
,,,,,,,,,,,,,,,
99102,299,571,160,"10,082",267,"8,380",150,130,229,902,38,108,28,**,51
"Under $10,000        ",52,51,13,269,48,302,11,6,16,3,--,--,*       10,--,**
"$10,000 under $25,000",74,125,30,"1,265",61,"1,060",34,8,51,49,**,**,**,**,**
"$25,000 under $50,000",110,221,64,"4,004",101,"3,545",56,60,99,309,*       18,*       40,*       18,**,*       28
"$50,000 or more      ",63,174,53,"4,544",57,"3,473",49,56,63,541,20,68,**,**,23
,,,,,,,,,,,,,,,
99103,234,451,137,"6,672",173,"4,199",151,426,161,680,20,80,33,27,31
"Under $10,000        ",67,70,17,-484,49,298,34,63,19,4,**,**,*       10,**,**
"$10,000 under $25,000",46,85,26,824,30,480,27,30,31,30,**,**,**,**,**
"$25,000 under $50,000",75,180,61,"2,759",58,"1,549",53,154,65,179,*       20,*       80,13,*       27,*       19
"$50,000 or more      ",46,116,33,"3,573",36,"1,872",37,179,46,467,**,**,10,**,12
,,,,,,,,,,,,,,,
99105,28,59,14,783,20,460,19,66,21,57,--,--,**,**,**
"Under $10,000        ",*       13,*       17,*        2,*        118,**,**,**,**,--,--,--,--,**,--,--
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,--,--,**
"$25,000 under $50,000",*       15,*       42,*       12,*        665,*       20,*        460,*       19,*       66,*       21,*         57,--,--,**,**,--
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,--,--,**,**,--
,,,,,,,,,,,,,,,
99107,22,38,8,547,19,441,**,**,14,40,**,**,**,--,**
"Under $10,000        ",**,**,**,**,**,**,**,**,**,**,--,--,**,--,--
"$10,000 under $25,000",*       22,*       38,*        8,*        547,*       19,*        441,**,**,*       14,*         40,--,--,**,--,--
"$25,000 under $50,000",**,**,**,**,**,**,--,--,**,**,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,--,--,**,--,--
,,,,,,,,,,,,,,,
99109,"1,973","4,223","1,354","69,549","1,586","46,533","1,020","2,375","1,353","7,272",322,"1,115",306,112,424
"Under $10,000        ",436,510,132,"1,289",340,"1,833",147,222,94,16,17,22,56,21,36
"$10,000 under $25,000",560,"1,100",333,"9,559",418,"6,231",237,583,353,284,56,122,75,21,76
"$25,000 under $50,000",540,"1,341",441,"19,670",458,"13,520",296,564,475,"1,246",83,200,82,37,119
"$50,000 or more      ",437,"1,272",448,"39,031",370,"24,949",340,"1,006",431,"5,726",166,771,93,33,193
,,,,,,,,,,,,,,,
99110,553,"1,256",448,"18,601",461,"14,152",259,511,377,"1,580",110,358,87,55,158
"Under $10,000        ",131,181,62,410,102,555,28,35,32,7,**,**,17,13,**
"$10,000 under $25,000",128,260,83,"2,146",95,"1,470",47,96,79,67,**,**,15,11,*       20
"$25,000 under $50,000",154,423,173,"5,764",138,"4,522",81,167,127,357,*       46,*      132,23,10,55
"$50,000 or more      ",140,392,130,"10,281",126,"7,605",103,213,139,"1,149",64,226,32,21,83
,,,,,,,,,,,,,,,
99111,"1,839","3,677","1,156","66,519","1,459","46,350","1,090","2,504","1,353","6,875",307,"1,312",271,132,394
"Under $10,000        ",439,362,66,592,318,"1,648",206,187,117,24,**,**,40,19,16
"$10,000 under $25,000",411,695,179,"7,068",292,"4,749",199,469,287,261,*       46,*       93,52,21,49
"$25,000 under $50,000",478,"1,086",348,"17,429",410,"12,690",272,652,441,"1,239",81,231,80,38,108
"$50,000 or more      ",511,"1,534",563,"41,430",439,"27,263",413,"1,196",508,"5,351",180,988,99,54,221
,,,,,,,,,,,,,,,
99113,350,721,243,"13,447",291,"10,149",251,283,268,"1,312",63,127,43,32,76
"Under $10,000        ",79,54,17,227,64,361,45,18,26,5,*       10,*        4,*       10,*       15,*       13
"$10,000 under $25,000",69,117,33,"1,182",49,840,43,41,47,38,**,**,**,**,**
"$25,000 under $50,000",96,211,58,"3,606",79,"2,549",70,86,89,261,13,28,16,*       17,17
"$50,000 or more      ",106,339,135,"8,432",99,"6,399",93,138,106,"1,008",40,95,17,**,46
,,,,,,,,,,,,,,,
99114,"4,823","10,255","3,336","166,992","3,826","117,295","2,454","6,452","3,386","16,355",849,"2,780",806,263,"1,120"
"Under $10,000        ","1,126","1,293",331,"3,137",811,"4,349",400,500,286,61,24,31,153,45,53
"$10,000 under $25,000","1,300","2,489",742,"21,985",966,"15,012",541,"1,003",843,697,101,209,184,48,153
"$25,000 under $50,000","1,286","3,249","1,165","47,109","1,079","34,663",670,"1,349","1,149","2,916",239,511,226,78,343
"$50,000 or more      ","1,111","3,224","1,098","94,761",970,"63,271",843,"3,600","1,108","12,681",485,"2,029",243,92,571
,,,,,,,,,,,,,,,
99115,462,884,234,"13,866",333,"8,740",291,782,322,"1,395",62,159,65,46,88
"Under $10,000        ",115,136,32,42,74,406,64,53,23,3,**,**,12,13,13
"$10,000 under $25,000",139,232,47,"2,259",92,"1,196",86,172,100,77,*       18,*       37,19,*       19,19
"$25,000 under $50,000",117,254,64,"4,273",93,"2,891",67,156,108,298,18,50,15,**,28
"$50,000 or more      ",91,262,91,"7,292",74,"4,247",74,401,91,"1,017",26,72,19,14,28
,,,,,,,,,,,,,,,
99116,618,"1,153",313,"22,836",476,"16,533",355,583,488,"2,382",62,203,50,11,77
"Under $10,000        ",106,98,26,386,88,396,37,27,26,4,**,**,*       16,--,*       11
"$10,000 under $25,000",177,282,68,"3,139",119,"1,973",90,121,137,120,**,**,**,*       11,**
"$25,000 under $50,000",159,314,84,"5,832",111,"3,393",97,186,149,460,*       25,*       73,10,**,19
"$50,000 or more      ",176,459,135,"13,479",158,"10,771",131,249,176,"1,798",37,130,24,**,47
,,,,,,,,,,,,,,,
99117,199,400,116,"6,569",154,"4,460",117,237,144,618,29,84,14,23,36
"Under $10,000        ",48,57,10,165,33,170,21,27,12,3,**,**,**,**,**
"$10,000 under $25,000",52,104,35,909,36,553,32,58,37,32,**,**,*       14,**,**
"$25,000 under $50,000",55,121,36,"2,054",49,"1,712",28,69,51,152,*       15,*       40,**,*       23,*       19
"$50,000 or more      ",44,118,35,"3,441",36,"2,025",36,83,44,431,14,44,**,**,17
,,,,,,,,,,,,,,,
99118,365,651,164,"10,738",286,"6,562",151,268,196,"1,132",32,219,52,27,42
"Under $10,000        ",154,161,16,456,119,558,39,55,28,5,**,**,17,10,**
"$10,000 under $25,000",79,161,47,"1,276",57,770,30,42,43,33,**,**,16,*       17,**
"$25,000 under $50,000",75,180,62,"2,857",64,"2,224",36,55,68,204,*       18,*       29,*       19,**,*       25
"$50,000 or more      ",57,149,39,"6,149",46,"3,010",46,116,57,890,14,190,**,**,17
,,,,,,,,,,,,,,,
99119,334,696,211,"13,994",240,"6,692",158,429,216,"1,663",41,124,51,23,63
"Under $10,000        ",93,126,30,91,60,309,23,34,18,4,--,--,15,**,*       12
"$10,000 under $25,000",90,174,49,"1,514",61,852,39,106,56,44,**,**,12,**,**
"$25,000 under $50,000",81,212,73,"3,035",63,"2,121",49,75,73,187,*       17,*       33,12,*       23,17
"$50,000 or more      ",70,184,59,"9,354",56,"3,410",47,214,69,"1,428",24,91,12,**,34
,,,,,,,,,,,,,,,
99121,66,143,40,"1,987",47,"1,416",37,55,38,199,**,**,13,**,**
"Under $10,000        ",20,35,8,36,10,63,**,**,**,**,--,--,*       13,**,--
"$10,000 under $25,000",18,34,8,282,12,166,*       26,*       26,*       23,*         37,**,**,**,**,**
"$25,000 under $50,000",13,33,12,450,12,344,**,**,**,**,**,**,**,--,**
"$50,000 or more      ",15,41,12,"1,219",13,843,11,29,15,162,**,**,**,**,**
,,,,,,,,,,,,,,,
99122,"1,434","3,017",938,"50,975","1,106","34,923",856,"2,247","1,029","4,939",239,559,233,108,323
"Under $10,000        ",286,287,53,356,214,"1,122",122,154,70,21,**,**,45,22,18
"$10,000 under $25,000",372,654,166,"6,238",262,"3,983",186,401,252,200,*       39,*       65,47,19,52
"$25,000 under $50,000",421,"1,057",372,"15,219",334,"10,222",270,620,356,939,71,141,71,37,98
"$50,000 or more      ",355,"1,019",347,"29,162",296,"19,596",278,"1,072",351,"3,779",129,353,70,30,155
,,,,,,,,,,,,,,,
99123,458,932,257,"18,888",361,"13,168",267,476,356,"2,055",66,191,45,**,92
"Under $10,000        ",89,84,18,418,65,334,37,45,29,4,**,**,*       12,--,**
"$10,000 under $25,000",104,198,56,"1,813",78,"1,132",40,56,73,50,**,**,**,--,**
"$25,000 under $50,000",117,252,63,"4,216",83,"2,405",76,116,108,294,*       17,*       36,14,**,*       31
"$50,000 or more      ",148,398,120,"12,441",135,"9,297",114,259,146,"1,707",49,155,19,--,61
,,,,,,,,,,,,,,,
99124,195,419,156,"6,831",166,"5,180",67,93,146,627,11,43,28,**,19
"Under $10,000        ",35,51,21,191,32,153,**,**,10,1,--,--,**,--,--
"$10,000 under $25,000",50,106,47,898,36,580,*       21,*       21,30,22,*       11,*       43,*       18,**,**
"$25,000 under $50,000",63,138,49,"2,269",56,"1,733",19,22,59,162,**,**,**,**,**
"$50,000 or more      ",47,124,39,"3,473",42,"2,714",27,50,47,442,**,**,10,**,*       19
,,,,,,,,,,,,,,,
99125,270,570,196,"6,697",211,"5,039",168,381,175,552,28,69,35,47,34
"Under $10,000        ",79,99,35,-331,61,369,42,26,24,4,**,**,**,13,**
"$10,000 under $25,000",77,148,36,"1,320",51,707,47,164,49,35,*       18,*       35,*       21,15,*       22
"$25,000 under $50,000",75,204,77,"2,715",63,"1,929",48,103,63,160,**,**,*       14,*       19,**
"$50,000 or more      ",39,119,48,"2,993",36,"2,034",31,88,39,353,10,34,**,**,12
,,,,,,,,,,,,,,,
99126,248,605,216,"7,921",196,"5,392",121,352,166,742,38,145,54,17,57
"Under $10,000        ",51,72,23,-76,37,202,**,**,13,2,--,--,12,**,*       10
"$10,000 under $25,000",75,184,68,"1,300",55,821,*       41,*      153,41,30,**,**,15,*       17,**
"$25,000 under $50,000",72,199,71,"2,625",61,"1,716",39,54,62,158,*       16,*       36,17,**,18
"$50,000 or more      ",50,150,54,"4,072",43,"2,653",41,145,50,552,22,109,10,**,29
,,,,,,,,,,,,,,,
99128,156,330,111,"5,201",122,"3,234",95,237,107,499,19,83,29,23,28
"Under $10,000        ",41,43,10,-43,31,178,18,4,**,**,--,--,**,**,**
"$10,000 under $25,000",38,70,18,670,26,372,23,44,*       36,*         23,**,**,*       15,**,*       13
"$25,000 under $50,000",35,95,40,"1,260",32,918,23,43,29,74,**,**,**,*       23,**
"$50,000 or more      ",42,122,43,"3,314",33,"1,766",31,146,42,402,*       19,*       83,14,**,15
,,,,,,,,,,,,,,,
99129,209,456,158,"5,586",173,"4,046",62,73,135,395,**,**,28,25,16
"Under $10,000        ",41,70,25,109,28,137,10,14,**,**,--,--,*       15,*       15,--
"$10,000 under $25,000",77,152,46,"1,283",65,"1,039",18,29,*       53,*         35,**,**,**,**,**
"$25,000 under $50,000",66,159,61,"2,324",56,"1,698",23,13,57,145,**,**,*       13,*       10,*       16
"$50,000 or more      ",25,75,26,"1,870",24,"1,172",11,17,25,215,**,**,**,**,**
,,,,,,,,,,,,,,,
99130,391,759,216,"12,856",316,"9,069",219,434,287,"1,296",42,126,65,34,54
"Under $10,000        ",92,88,12,-199,64,337,42,31,22,5,**,**,12,**,**
"$10,000 under $25,000",99,174,51,"1,755",82,"1,273",40,82,73,67,**,**,17,*       18,**
"$25,000 under $50,000",111,242,70,"4,127",92,"2,936",66,171,103,318,*       16,*       15,22,**,*       23
"$50,000 or more      ",89,255,83,"7,173",78,"4,523",71,150,89,906,26,111,14,16,31
,,,,,,,,,,,,,,,
99131,47,89,22,"1,342",27,766,31,49,33,99,**,**,11,**,12
"Under $10,000        ",11,15,2,45,*       10,*        121,*       12,*       18,*       10,*          5,--,--,*       11,**,--
"$10,000 under $25,000",12,22,5,207,**,**,**,**,**,**,--,--,**,**,**
"$25,000 under $50,000",*       24,*       52,*       15,"*      1,090",*       17,*        645,*       19,*       31,*       23,*         94,**,**,**,**,*       12
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,
99133,673,"1,258",324,"22,589",531,"16,837",375,563,501,"2,303",87,250,101,25,112
"Under $10,000        ",156,172,38,384,116,569,58,67,38,5,*       12,*       17,23,**,**
"$10,000 under $25,000",175,292,69,"2,996",126,"1,867",82,120,133,112,**,**,22,**,*       18
"$25,000 under $50,000",170,359,99,"6,039",139,"4,546",96,150,158,443,17,59,21,*       25,26
"$50,000 or more      ",172,435,118,"13,170",150,"9,855",139,226,172,"1,743",58,174,35,**,68
,,,,,,,,,,,,,,,
99134,292,561,167,"8,577",229,"5,780",179,698,193,802,43,94,41,24,54
"Under $10,000        ",83,62,12,-251,62,261,38,43,22,5,*       10,*        8,**,*       12,*       14
"$10,000 under $25,000",65,130,38,"1,151",51,793,32,92,36,26,**,**,*       14,**,**
"$25,000 under $50,000",79,194,62,"2,814",64,"1,928",53,176,70,177,14,44,16,*       12,18
"$50,000 or more      ",65,175,55,"4,863",52,"2,798",56,387,65,594,19,42,11,**,22
,,,,,,,,,,,,,,,
99135,129,259,88,"4,666",103,"2,949",87,222,97,422,14,69,21,13,16
"Under $10,000        ",32,17,4,145,28,130,22,2,14,3,**,**,**,**,**
"$10,000 under $25,000",24,47,14,404,16,197,13,35,14,14,--,--,**,**,--
"$25,000 under $50,000",37,80,24,"1,318",29,838,24,51,34,89,*       14,*       69,*       21,*       13,**
"$50,000 or more      ",36,115,46,"2,799",30,"1,784",28,134,35,316,**,**,**,**,*       16
,,,,,,,,,,,,,,,
99136,22,40,4,488,15,236,18,57,17,48,**,**,**,**,**
"Under $10,000        ",**,**,**,**,**,**,**,**,**,**,--,--,**,**,--
"$10,000 under $25,000",*       22,*       40,*        4,*        488,*       15,*        236,*       18,*       57,*       17,*         48,**,**,**,**,**
"$25,000 under $50,000",**,**,**,**,**,**,**,**,**,**,--,--,**,**,--
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
,,,,,,,,,,,,,,,
99137,142,309,102,"3,761",102,"2,787",69,159,77,359,21,84,28,29,31
"Under $10,000        ",39,56,13,-138,23,136,17,63,**,**,**,**,*       16,*       14,**
"$10,000 under $25,000",49,112,46,790,35,605,17,29,*       31,*         17,**,**,**,**,**
"$25,000 under $50,000",29,77,26,"1,001",20,683,18,48,22,50,*       21,*       84,*       12,*       15,*       20
"$50,000 or more      ",25,64,17,"2,108",24,"1,363",17,19,24,292,**,**,**,**,11
,,,,,,,,,,,,,,,
99138,456,944,360,"11,934",388,"8,654",118,311,283,890,31,154,56,23,42
"Under $10,000        ",125,172,52,330,98,465,21,34,16,2,--,--,14,**,**
"$10,000 under $25,000",142,285,113,"2,463",124,"1,913",33,97,88,70,**,**,16,*       23,**
"$25,000 under $50,000",133,325,137,"4,675",121,"3,742",35,46,123,314,*       17,*       84,*       26,**,*       25
"$50,000 or more      ",56,162,58,"4,466",45,"2,534",29,134,56,504,14,70,**,**,17
,,,,,,,,,,,,,,,
99139,469,973,286,"13,356",347,"9,268",231,472,300,"1,159",53,104,83,12,80
"Under $10,000        ",122,156,37,69,89,405,40,37,17,2,**,**,23,--,**
"$10,000 under $25,000",132,294,101,"2,226",93,"1,367",56,102,78,55,*       15,*       34,24,**,*       24
"$25,000 under $50,000",127,291,83,"4,539",89,"2,948",71,158,117,316,11,21,24,*       12,23
"$50,000 or more      ",88,232,65,"6,522",76,"4,548",64,175,88,786,27,49,12,**,33
,,,,,,,,,,,,,,,
99140,144,320,133,"3,693",119,"2,790",36,78,86,243,**,**,**,10,10
"Under $10,000        ",39,65,26,185,32,145,**,**,**,**,--,--,**,--,*       10
"$10,000 under $25,000",47,91,32,790,36,548,*       15,*       31,*       33,*         20,**,**,**,*       10,**
"$25,000 under $50,000",40,118,63,"1,433",35,"1,072",*       21,*       47,35,69,**,**,**,**,**
"$50,000 or more      ",18,46,12,"1,285",16,"1,025",**,**,18,154,--,--,**,**,**
,,,,,,,,,,,,,,,
99141,"2,048","4,307","1,307","69,568","1,635","49,133",956,"2,651","1,449","7,005",295,"1,258",362,116,423
"Under $10,000        ",437,510,111,"1,310",317,"1,736",141,394,104,19,**,**,68,28,15
"$10,000 under $25,000",585,"1,141",341,"10,050",432,"6,735",227,548,385,319,*       46,*      105,89,28,63
"$25,000 under $50,000",605,"1,467",482,"22,199",513,"16,749",296,504,543,"1,422",98,220,126,33,149
"$50,000 or more      ",421,"1,189",373,"36,009",373,"23,913",292,"1,205",417,"5,245",151,933,79,27,196
,,,,,,,,,,,,,,,
99143,318,672,219,"10,620",228,"5,898",209,415,219,"1,015",29,96,51,52,47
"Under $10,000        ",84,97,27,77,57,357,45,36,19,4,**,**,*       20,**,**
"$10,000 under $25,000",69,130,39,"1,178",41,558,44,97,46,36,*       13,*       37,**,*       21,*       13
"$25,000 under $50,000",81,197,66,"2,915",65,"1,827",50,116,70,195,**,**,19,14,11
"$50,000 or more      ",84,248,87,"6,450",65,"3,156",70,166,84,780,16,59,12,17,23
,,,,,,,,,,,,,,,
99144,23,40,9,635,19,432,19,50,16,48,**,**,**,**,**
"Under $10,000        ",**,**,**,**,**,**,**,**,**,**,--,--,--,**,--
"$10,000 under $25,000",*       23,*       40,*        9,*        635,*       19,*        432,*       19,*       50,*       16,*         48,--,--,--,**,--
"$25,000 under $50,000",**,**,**,**,**,**,**,**,**,**,**,**,--,**,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,
99146,32,69,18,"1,007",20,682,20,83,26,91,**,**,**,**,**
"Under $10,000        ",*       11,*       22,*        4,*         38,**,**,**,**,**,**,--,--,**,**,**
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
"$25,000 under $50,000",*       21,*       47,*       14,*        969,*       20,*        682,*       20,*       83,*       26,*         91,**,**,--,**,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,**,--,**
,,,,,,,,,,,,,,,
99147,60,113,16,"2,317",36,775,45,152,39,244,20,35,**,--,22
"Under $10,000        ",11,16,1,-25,**,**,**,**,--,--,**,**,**,--,**
"$10,000 under $25,000",17,31,5,284,*       16,*        156,*       17,*       20,**,**,**,**,**,--,**
"$25,000 under $50,000",18,34,5,662,*       20,*        619,14,37,*       25,*         54,*       20,*       35,**,--,*       22
"$50,000 or more      ",14,32,5,"1,396",**,**,14,95,14,190,**,**,**,--,**
,,,,,,,,,,,,,,,
99148,927,"1,872",496,"31,684",695,"20,330",503,"1,118",658,"2,958",207,442,182,23,272
"Under $10,000        ",195,238,50,795,137,763,70,47,42,7,**,**,33,*       10,10
"$10,000 under $25,000",270,518,134,"4,617",187,"2,781",125,254,180,138,*       40,*       66,48,**,48
"$25,000 under $50,000",250,566,158,"9,002",196,"5,836",145,278,225,617,68,149,53,*       13,90
"$50,000 or more      ",212,550,154,"17,270",175,"10,950",163,539,211,"2,196",99,227,48,**,124
,,,,,,,,,,,,,,,
99149,69,143,49,"1,676",56,"1,197",24,47,44,106,**,**,**,**,**
"Under $10,000        ",13,15,5,27,12,58,*       11,*       11,**,**,--,--,--,**,**
"$10,000 under $25,000",28,53,17,443,21,284,**,**,*       21,*         12,--,--,**,**,--
"$25,000 under $50,000",*       28,*       75,*       27,"*      1,206",*       23,*        855,*       13,*       36,*       23,*         94,--,--,--,**,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
99150,159,335,109,"4,341",129,"3,397",84,173,94,327,16,64,32,12,28
"Under $10,000        ",52,71,25,107,41,235,22,15,**,**,**,**,*       18,*       12,**
"$10,000 under $25,000",32,64,17,530,23,369,17,29,*       28,*         17,**,**,**,--,*       16
"$25,000 under $50,000",41,98,30,"1,420",34,965,24,110,33,89,*       16,*       64,*       14,**,**
"$50,000 or more      ",34,102,37,"2,284",31,"1,828",21,19,33,221,**,**,**,**,12
,,,,,,,,,,,,,,,
99151,62,124,39,"1,520",53,"1,256",21,25,38,105,**,**,**,--,**
"Under $10,000        ",16,21,8,68,15,57,*       10,*       23,**,**,**,**,**,--,**
"$10,000 under $25,000",18,38,11,293,12,179,**,**,*       11,*          5,--,--,**,--,--
"$25,000 under $50,000",*       28,*       65,*       20,"*      1,159",*       26,"*      1,020",*       11,*        2,*       27,*        100,**,**,**,--,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,--,**
,,,,,,,,,,,,,,,
99152,78,152,42,"2,424",56,"1,808",48,78,51,228,**,**,19,**,12
"Under $10,000        ",20,26,5,50,**,**,12,19,**,**,**,**,*       19,**,**
"$10,000 under $25,000",24,39,8,402,*       25,*        289,*       21,*       47,*       18,*         14,**,**,**,--,*       12
"$25,000 under $50,000",13,33,14,433,11,389,**,**,12,22,**,**,**,**,**
"$50,000 or more      ",21,54,15,"1,539",20,"1,130",15,12,21,192,**,**,**,**,**
,,,,,,,,,,,,,,,
99153,203,415,126,"6,437",157,"5,412",120,153,147,629,22,96,36,**,28
"Under $10,000        ",47,45,8,20,33,153,15,17,12,2,--,--,**,**,**
"$10,000 under $25,000",60,117,32,949,38,545,32,56,42,29,**,**,*       18,**,**
"$25,000 under $50,000",44,105,31,"1,605",36,"1,212",29,53,41,98,*       22,*       96,*       18,**,*       17
"$50,000 or more      ",52,148,55,"3,863",50,"3,502",44,27,52,500,**,**,**,**,11
,,,,,,,,,,,,,,,
99154,12,27,7,397,**,**,**,**,**,**,**,**,--,**,**
"Under $10,000        ",*       12,*       27,*        7,*        397,**,**,**,**,--,--,**,**,--,--,**
"$10,000 under $25,000",**,**,**,**,**,**,**,**,**,**,--,--,--,--,--
"$25,000 under $50,000",**,**,**,**,**,**,**,**,**,**,**,**,--,**,**
"$50,000 or more      ",**,**,**,**,**,**,**,**,**,**,**,**,--,**,**
,,,,,,,,,,,,,,,
99155,424,933,435,"10,821",403,"9,507",65,72,274,788,**,**,11,15,10
"Under $10,000        ",103,150,56,315,96,467,**,**,19,3,**,**,*       11,**,*       10
"$10,000 under $25,000",156,320,151,"2,694",146,"2,355",*       25,*        9,101,79,**,**,**,**,**
"$25,000 under $50,000",103,246,122,"3,628",100,"3,113",16,52,92,255,**,**,**,*       15,**
"$50,000 or more      ",62,217,106,"4,184",61,"3,572",24,11,62,451,**,**,**,**,**
,,,,,,,,,,,,,,,
99156,"2,947","6,264","1,997","97,044","2,341","70,923","1,505","3,513","2,035","8,806",569,"1,363",483,118,759
"Under $10,000        ",634,806,229,"1,047",476,"2,574",198,368,141,36,16,10,87,25,43
"$10,000 under $25,000",860,"1,685",520,"14,654",638,"9,769",349,616,541,433,68,119,125,19,104
