zipcode,adjusted_gross_income_size,returns,joint_returns,paid_preparer_number_of_returns,number_of_exemptions_total,dependent_number_of_returns,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,ordinary_dividends_number_of_returns,ordinary_dividends_amounts,qualified_dividends_number_of_returns,qualified_dividends_amounts,business_net_income_number_of_returns,business_net_income_amount,farm_number_of_returns,net_capital_gain_in_agi_number_of_returns,net_capital_gain_in_agi_amount,taxable_individual_retirement_arrangement_distributions_number_of_returns,taxable_individual_retirement_arrangement_distributions_amount,pensions_and_annuities_in_agi_number_of_returns,pensions_and_annuities_in_agi_amount,unemployment_compensation_in_agi_number_of_returns,unemployment_compensation_in_agi_amount,social_security_benefits_in_agi_number_of_returns,social_security_benefits_in_agi_amount,self_employment_retirement_plans_number_of_returns,self_employment_retirement_plans_amount,total_itemized_deductions_number_of_returns,total_itemized_deductions_amount,state_and_local_income_taxes_number_of_returns,state_and_local_income_taxes_amount,state_and_local_general_sales_taxes_number_of_returns,state_and_local_general_sales_taxes_amount,real_estate_taxes_number_of_returns,real_estate_taxes_amount,taxes_paid_number_of_returns,taxes_paid_amount,mortgage_interest_paid_number_of_returns,mortgage_interest_paid_amount,contributions_number_of_returns,contributions_amount,taxable_income_number_of_returns,taxable_income_amount,total_tax_credits_number_of_returns,total_tax_credits_amount,residential_energy_credit_number_of_returns,residential_energy_credit_amount,child_tax_credit_number_of_returns,child_tax_credit_amount,child_and_dependent_care_credit_number_of_returns,child_and_dependent_care_credit_amount,additional_child_tax_credit_number_of_returns,additional_child_tax_credit_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,earned_income_credit_refundable_number_of_returns,earned_income_credit_refundable_amount,alternative_minimum_tax_number_of_returns,alternative_minimum_tax_amount,income_tax_number_of_returns,income_tax_amount,total_tax_liability_number_of_returns,total_tax_liability_amount,tax_due_at_time_of_filing_number_of_returns,tax_due_at_time_of_filing_amount,overpayments_refunded_number_of_returns,overpayments_refunded_amount
98831,"$50,000 under $75,000",145,118,74,387,122,8795,114,5226,82,274,53,175,47,108,37,358,**,30,58,26,383,50,1487,21,154,47,655,0,0,66,1514,0,0,50,74,63,251,66,343,57,642,44,128,141,4965,67,89,**,**,39,65,**,**,**,**,0,0,0,0,0,0,124,550,138,646,44,113,93,270
98831,"$75,000 under $100,000",86,76,46,215,53,7453,63,3841,67,406,39,263,31,187,**,**,24,30,3,23,548,41,1424,**,**,41,740,0,0,55,1276,0,0,40,85,53,224,54,338,46,562,51,160,86,4998,42,55,**,**,28,51,**,**,**,**,0,0,0,0,0,0,84,637,85,685,31,121,46,171
98831,"$100,000 under $200,000",85,76,51,211,58,11221,69,5827,68,641,44,113,59,973,28,883,**,55,1288,26,1565,53,2092,**,**,47,1014,0,0,62,2035,0,0,65,255,58,309,62,528,66,1085,58,194,85,8140,47,62,**,**,**,**,**,**,0,0,0,0,0,0,0,0,85,1350,85,1493,46,1653,52,401
98831,"$200,000 or more",30,28,29,66,**,13003,21,2614,29,710,22,1145,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,26,1376,0,0,**,**,23,256,26,488,**,**,23,501,30,11381,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,30,2944,30,3045,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98832,,194,34,159,263,41,"4,759",63,"1,853",34,93,141,"1,753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,"2,438",27,18,0,0,0,0,0,0,0,0,0,0,0,0,41,52,169,354,172,405,145,202,46,126
98832,"$1 under $25,000",169,34,159,203,41,2801,40,732,34,93,141,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1055,27,18,0,0,0,0,0,0,0,0,0,0,0,0,41,52,145,165,148,178,145,202,46,126
98832,"$25,000 under $50,000",**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
98832,"$50,000 under $75,000",25,**,**,60,**,1958,23,1121,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1383,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,189,24,227,**,**,**,**
98832,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
98832,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
98832,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98834,,101,49,38,181,39,"3,428",71,"2,156",64,261,29,88,21,64,20,50,0,0,0,0,0,29,569,0,0,0,0,0,0,20,344,0,0,0,0,0,0,20,85,0,0,0,0,61,"2,013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,267,68,300,0,0,66,141
98834,"$1 under $25,000",54,20,**,92,39,580,35,439,41,46,29,88,21,64,20,50,0,0,0,0,0,29,569,0,0,0,0,0,0,20,344,0,0,0,0,0,0,20,85,0,0,0,0,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,45,43,61,0,0,36,61
98834,"$25,000 under $50,000",20,29,38,40,**,720,36,1717,**,**,**,**,**,**,**,**,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,35,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,30,80
98834,"$50,000 under $75,000",27,**,**,49,**,2128,**,**,23,215,**,**,**,**,**,**,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,26,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,222,25,239,0,0,**,**
98834,"$75,000 under $100,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,**,**
98834,"$100,000 under $200,000",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,**,**
98834,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,0,0,**,**,0,0,0,0,**,**,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,**,**,**,**,0,0,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98837,,"16,361","7,054","8,519","37,372","13,213","757,602","14,245","565,379","4,830","12,404","2,174","5,348","1,845","3,571","1,815","21,651",321,"1,641","21,367",904,"10,461","2,635","44,892","1,974","14,001","1,746","18,250",37,657,"3,791","78,914",130,630,"2,787","5,598","3,483","9,796","3,737","17,372","3,202","33,016","2,763","13,297","12,037","462,838","5,447","6,810",376,272,"3,720","4,767",573,287,"3,454","5,032","3,634","8,275","3,273","7,596",144,366,"10,121","70,806","10,884","75,684","2,159","10,262","13,435","39,201"
98837,"$1 under $25,000",6893,1155,3366,12132,3966,87255,5724,69145,1215,1899,565,965,474,499,577,3304,57,393,-29,238,1175,785,6946,752,4323,236,361,**,**,397,6240,**,**,261,179,319,785,381,1076,247,2056,234,474,2843,16137,832,278,**,**,400,136,52,17,2043,2602,2497,6331,2326,5928,0,0,2222,1436,2707,2123,428,207,6008,13912
98837,"$25,000 under $50,000",4440,1857,2339,10813,3991,159979,3951,130674,1102,1801,416,825,353,468,450,3772,75,305,320,245,1799,718,11773,701,5730,646,3584,**,**,878,14112,38,69,627,761,775,1702,856,2712,727,6292,535,1409,4185,75304,2020,1855,97,59,1498,1446,170,82,1195,2112,1137,1944,947,1668,0,0,3116,7296,3334,8266,480,728,3872,11636
98837,"$50,000 under $75,000",2294,1600,1258,6290,2317,141248,2065,115109,902,1955,422,902,349,602,306,2427,62,283,266,174,1895,489,9234,318,2419,424,5957,**,**,869,16857,27,52,630,1332,808,2021,861,3640,747,7034,619,2192,2276,86479,1196,2030,115,85,917,1619,148,73,188,276,0,0,0,0,**,**,2084,9814,2135,10492,427,841,1796,5770
98837,"$75,000 under $100,000",1304,1140,696,3900,1444,112287,1200,92581,646,1380,267,716,223,539,204,2658,46,201,619,123,1915,288,6571,133,980,207,3541,**,**,665,13476,25,100,494,961,640,1719,663,3005,605,6319,515,1914,1303,76914,715,1389,72,53,549,1025,101,59,28,42,0,0,0,0,**,**,1274,9551,1281,10138,292,779,962,3606
98837,"$100,000 under $200,000",1214,1104,684,3597,1269,157349,1111,120285,777,2406,382,1112,339,751,223,6236,60,328,4545,124,3677,301,7853,70,549,193,3915,37,657,817,20468,40,409,642,1814,784,2723,811,5025,740,9238,713,3833,1214,118906,604,911,92,75,356,541,102,56,**,**,0,0,0,0,43,82,1209,19728,1211,20951,416,2353,728,2987
98837,"$200,000 or more",216,198,176,640,226,99484,194,37585,188,2963,122,828,107,712,55,3254,21,131,15646,**,**,54,2515,0,0,40,892,**,**,165,7761,**,**,133,551,157,846,165,1914,136,2077,147,3475,216,89098,80,347,**,**,0,0,**,**,0,0,0,0,0,0,101,284,216,22981,216,23714,116,5354,69,1290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98840,,"1,844",815,884,"3,752","1,118","76,365","1,507","52,541",682,"1,434",336,754,288,455,225,"3,409",101,247,"2,592",120,"1,312",387,"7,673",178,"1,195",270,"2,621",0,0,297,"5,286",0,0,230,458,268,552,291,"1,160",227,"2,147",173,455,"1,331","47,295",528,615,77,81,290,357,44,25,295,381,454,922,399,816,0,0,"1,171","6,939","1,277","7,629",309,769,"1,419","3,538"
98840,"$1 under $25,000",834,167,378,1406,447,10107,661,7850,198,304,91,124,78,71,92,617,27,69,-13,34,167,122,944,89,557,26,38,0,0,47,804,0,0,38,131,41,74,46,225,30,217,20,34,341,1873,83,26,**,**,41,15,**,**,206,237,349,744,315,675,0,0,275,170,352,277,69,29,690,1543
98840,"$25,000 under $50,000",501,241,252,1045,292,18019,410,13163,190,341,90,184,77,82,67,772,27,72,32,39,340,120,2333,51,401,119,698,0,0,89,1276,0,0,66,74,78,134,85,233,66,529,56,125,483,9104,208,172,24,15,117,111,**,**,89,144,105,178,84,141,0,0,400,935,426,1101,69,84,416,1004
98840,"$50,000 under $75,000",266,192,128,648,185,16431,222,11832,128,238,63,132,58,88,24,375,24,44,169,25,296,78,2059,38,237,79,1047,0,0,70,1187,0,0,56,78,64,105,69,201,55,462,54,161,265,10681,130,202,25,30,73,133,44,25,**,**,0,0,0,0,0,0,255,1254,257,1354,71,133,188,501
98840,"$75,000 under $100,000",122,108,55,329,98,10546,109,7661,76,109,33,27,28,9,42,1645,23,25,198,22,509,33,1049,**,**,25,469,0,0,37,774,0,0,25,47,32,73,37,138,30,323,**,**,121,7591,55,117,28,36,36,63,**,**,0,0,0,0,0,0,0,0,120,961,121,1092,46,191,70,214
98840,"$100,000 under $200,000",100,107,71,271,96,12547,105,12035,69,139,59,287,47,205,**,**,**,37,2206,**,**,34,1288,**,**,21,369,0,0,54,1245,0,0,45,128,53,166,54,363,46,616,43,135,100,9931,52,98,**,**,23,35,**,**,0,0,0,0,0,0,0,0,100,1641,100,1761,54,332,55,276
98840,"$200,000 or more",21,**,**,53,**,8715,**,**,21,303,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,21,8115,**,**,**,**,0,0,0,0,0,0,0,0,0,0,0,0,21,1978,21,2044,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98841,,"3,916","1,565","1,852","8,336","2,795","146,708","3,289","103,197","1,202","2,466",551,"1,385",468,895,429,"7,615",122,406,"2,589",278,"3,076",888,"14,510",497,"3,387",499,"4,653",0,0,559,"10,188",0,0,442,758,508,"1,032",548,"2,090",463,"4,209",332,"1,270","2,717","85,285","1,139","1,205",138,132,713,802,103,48,820,"1,007","1,107","2,461","1,009","2,275",25,41,"2,277","11,853","2,495","13,348",566,"2,055","3,141","8,538"
98841,"$1 under $25,000",1947,375,861,3495,1193,24453,1592,18569,361,560,147,295,122,135,154,1067,30,128,-96,78,359,300,2383,267,1582,63,98,0,0,85,1309,0,0,59,68,66,108,76,200,54,366,35,74,779,4585,231,73,**,**,119,38,**,**,566,639,830,1978,777,1880,**,**,596,412,747,618,131,78,1666,4041
98841,"$25,000 under $50,000",1039,432,504,2368,845,37263,879,27747,324,597,138,267,116,164,97,1263,31,90,89,87,666,289,4517,139,1106,211,1171,0,0,142,1967,0,0,115,133,130,200,140,360,112,784,73,133,1009,18469,477,426,53,34,326,315,52,24,232,350,277,483,232,395,**,**,779,1813,837,2117,149,217,865,2481
98841,"$50,000 under $75,000",458,330,211,1182,373,27810,407,20798,220,454,103,193,84,127,72,889,24,68,22,48,705,146,3274,58,431,108,1310,0,0,121,2192,0,0,95,163,115,194,121,398,103,846,73,290,457,17627,215,352,54,58,156,258,28,14,22,18,0,0,0,0,0,0,434,2058,443,2308,111,261,337,1001
98841,"$75,000 under $100,000",247,219,139,664,192,21137,222,15545,137,220,63,106,56,54,46,739,37,38,109,41,640,88,2059,33,268,70,1183,0,0,91,1757,0,0,77,152,85,186,91,387,86,899,54,148,247,15060,110,210,**,**,70,132,23,10,**,**,0,0,0,0,0,0,244,1936,243,2085,76,179,160,527
98841,"$100,000 under $200,000",187,174,105,523,162,23816,158,15672,127,276,75,404,68,354,60,3657,**,56,1313,24,706,65,2277,**,**,47,891,0,0,92,2057,0,0,75,165,86,220,92,435,84,956,72,412,187,18691,106,144,31,40,42,59,**,**,0,0,0,0,0,0,25,41,186,3011,187,3387,77,611,113,488
98841,"$200,000 or more",38,35,32,104,30,12229,31,4866,33,359,25,120,22,61,**,**,**,26,1152,**,**,**,**,**,**,**,**,0,0,28,906,0,0,21,77,26,124,28,310,24,358,25,213,38,10853,**,**,**,**,0,0,**,**,0,0,0,0,0,0,**,**,38,2623,38,2833,22,709,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98843,,725,319,373,"1,965",738,"27,637",655,"21,211",232,580,98,564,82,453,57,406,32,65,104,39,933,74,"1,734",60,342,68,675,0,0,121,"3,301",0,0,95,247,115,485,121,771,101,"1,543",98,305,454,"13,953",251,231,0,0,181,157,0,0,291,442,129,281,114,261,0,0,319,"2,067",332,"2,231",77,529,614,"1,659"
98843,"$1 under $25,000",388,81,155,917,326,5415,359,5020,68,42,20,23,35,61,37,187,**,**,**,**,**,20,174,24,62,**,**,0,0,**,**,0,0,31,56,**,**,**,**,**,**,**,**,141,721,61,17,0,0,42,11,0,0,199,286,71,183,66,175,0,0,90,61,97,77,**,**,350,679
98843,"$25,000 under $50,000",192,116,128,648,283,6735,164,5444,57,151,28,98,**,**,**,**,32,38,37,39,933,29,491,36,280,40,257,0,0,59,1376,0,0,**,**,55,152,59,260,45,471,33,93,168,2289,108,83,0,0,90,74,0,0,92,156,58,98,48,86,0,0,94,175,97,213,50,72,162,507
98843,"$50,000 under $75,000",54,44,33,158,57,3340,51,2629,39,80,26,86,23,66,20,219,**,**,**,**,**,25,1069,**,**,28,418,0,0,**,**,0,0,30,57,**,**,**,**,**,**,33,72,54,1933,30,51,0,0,22,32,0,0,**,**,0,0,0,0,0,0,49,195,51,218,**,**,42,147
98843,"$75,000 under $100,000",41,36,24,114,36,3598,35,2670,28,92,**,**,**,**,**,**,**,27,67,**,**,**,**,**,**,**,**,0,0,24,615,0,0,**,**,23,115,24,152,21,379,**,**,41,2367,26,42,0,0,27,40,0,0,**,**,0,0,0,0,0,0,38,287,38,298,27,457,31,113
98843,"$100,000 under $200,000",50,42,33,128,36,8549,46,5448,40,215,24,357,24,326,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,38,1310,0,0,34,134,37,218,38,359,35,693,32,140,50,6643,26,38,0,0,**,**,0,0,**,**,0,0,0,0,0,0,48,1349,49,1425,**,**,29,213
98843,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98844,,"1,789",851,831,"3,754","1,113","65,097","1,397","45,460",630,"1,952",264,877,217,591,259,"2,474",105,229,"2,014",127,"1,548",335,"6,838",220,"1,311",254,"2,358",0,0,268,"6,119",0,0,198,391,238,588,265,"1,101",213,"2,163",162,661,"1,181","36,505",478,555,53,40,285,356,41,16,286,393,402,765,353,687,0,0,"1,012","4,944","1,119","5,550",270,787,"1,389","3,432"
98844,"$1 under $25,000",921,249,357,1576,446,11330,697,8552,232,443,101,186,80,100,109,538,40,81,-31,34,113,124,1296,120,595,35,64,0,0,52,778,0,0,36,30,43,88,51,147,37,338,25,65,338,1946,82,25,**,**,33,10,**,**,183,245,302,577,272,531,0,0,280,182,365,313,84,53,745,1484
98844,"$25,000 under $50,000",453,265,245,1078,327,16090,359,11295,160,283,57,93,46,39,73,860,40,49,176,37,411,105,2192,63,510,117,603,0,0,63,1929,0,0,46,48,55,116,61,178,46,384,30,92,429,7320,190,158,29,22,126,112,41,16,103,148,100,188,81,156,0,0,331,696,352,880,67,103,367,948
98844,"$50,000 under $75,000",195,150,109,494,144,11951,157,8443,97,391,38,165,30,102,54,497,**,36,123,27,433,49,1347,37,206,53,673,0,0,42,906,0,0,30,82,35,87,42,191,33,327,24,90,194,7537,84,137,**,**,60,100,**,**,**,**,0,0,0,0,0,0,181,877,182,974,40,112,150,475
98844,"$75,000 under $100,000",123,101,62,338,112,10579,105,8247,74,381,27,108,24,77,**,**,25,28,54,29,591,27,802,**,**,23,476,0,0,51,1059,0,0,44,111,48,100,51,227,47,534,34,120,123,7431,69,131,24,18,44,84,**,**,0,0,0,0,0,0,0,0,123,956,123,1004,30,125,89,315
98844,"$100,000 under $200,000",97,86,58,268,84,15147,79,8923,67,454,41,325,37,273,23,579,**,35,1692,**,**,30,1201,**,**,26,542,0,0,60,1447,0,0,42,120,57,197,60,358,50,580,49,294,97,12271,53,104,**,**,22,50,**,**,0,0,0,0,0,0,0,0,97,2233,97,2379,49,394,38,210
98844,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98846,,516,244,243,"1,167",384,"21,587",438,"15,874",195,473,81,241,75,190,53,431,0,70,770,28,537,87,"1,992",59,377,65,667,0,0,82,"1,709",0,0,60,124,76,193,82,380,62,782,53,97,374,"12,512",147,163,0,0,86,98,0,0,117,185,89,198,77,167,0,0,303,"1,735",321,"1,876",65,103,416,"1,079"
98846,"$1 under $25,000",233,44,104,410,124,3069,193,2413,59,102,24,23,22,18,**,**,0,39,6,28,537,22,224,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,98,503,22,5,0,0,**,**,0,0,69,108,56,131,49,118,0,0,77,50,86,69,22,12,187,365
98846,"$25,000 under $50,000",133,80,62,364,138,4677,110,3510,53,97,33,112,31,75,53,431,0,**,**,**,**,25,539,38,190,32,167,0,0,32,504,0,0,38,72,47,101,32,105,33,325,31,46,126,1937,59,48,0,0,52,36,0,0,48,77,33,67,28,49,0,0,84,181,92,226,21,31,115,305
98846,"$50,000 under $75,000",78,56,51,194,60,4749,71,3643,56,138,**,**,**,**,**,**,0,31,764,**,**,40,1229,21,187,33,500,0,0,30,616,0,0,**,**,**,**,30,144,**,**,**,**,78,3040,33,60,0,0,34,62,0,0,**,**,0,0,0,0,0,0,70,333,71,348,**,**,67,194
98846,"$75,000 under $100,000",30,25,**,79,23,2565,27,1855,**,**,24,106,22,97,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,22,52,29,92,**,**,29,457,22,51,30,1796,33,50,0,0,**,**,0,0,0,0,0,0,0,0,0,0,30,231,30,248,22,60,22,90
98846,"$100,000 under $200,000",42,39,26,120,39,6527,37,4453,27,136,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,20,589,0,0,**,**,**,**,20,131,**,**,**,**,42,5236,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,42,940,42,985,**,**,25,125
98846,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98847,,932,391,413,"2,063",720,"35,929",823,"25,384",368,997,127,713,113,415,128,"1,057",32,102,485,46,596,135,"2,825",129,615,100,999,0,0,193,"4,129",0,0,158,371,173,383,191,944,153,"1,632",139,524,665,"20,022",284,287,29,18,173,175,29,13,235,336,199,439,179,405,0,0,542,"2,820",574,"3,131",106,628,786,"2,013"
98847,"$1 under $25,000",447,79,181,811,291,5970,391,5027,111,132,32,50,28,26,46,238,**,25,-4,26,260,39,432,55,186,**,**,0,0,27,500,0,0,**,**,23,46,25,66,**,**,**,**,206,1215,61,19,0,0,29,11,**,**,140,187,139,315,122,290,0,0,166,109,186,146,27,17,401,811
98847,"$25,000 under $50,000",272,138,115,671,239,9560,245,7744,103,228,33,97,32,34,55,404,**,25,4,**,**,55,1155,43,238,77,548,0,0,56,1200,0,0,64,66,50,98,56,291,61,604,50,114,246,4149,118,97,29,18,80,67,29,13,95,149,60,124,57,115,0,0,177,404,188,464,27,54,248,718
98847,"$50,000 under $75,000",100,75,45,288,112,6241,90,4748,62,74,37,224,30,142,**,**,32,28,87,20,336,**,**,31,191,**,**,0,0,42,722,0,0,34,54,39,85,42,151,38,381,33,75,100,3815,48,90,**,**,37,66,**,**,**,**,0,0,0,0,0,0,88,431,89,472,**,**,82,251
98847,"$75,000 under $100,000",58,47,36,143,35,5000,50,3470,44,66,**,**,**,**,27,415,**,**,**,**,**,20,528,**,**,23,451,0,0,31,650,0,0,27,87,29,57,31,153,27,319,23,107,58,3498,31,42,**,**,27,31,**,**,0,0,0,0,0,0,0,0,58,441,58,494,21,96,35,114
98847,"$100,000 under $200,000",55,52,36,150,43,9158,47,4395,48,497,25,342,23,213,**,**,**,24,398,**,**,21,710,**,**,**,**,0,0,37,1057,0,0,33,164,32,97,37,283,27,328,33,228,55,7345,26,39,**,**,**,**,**,**,**,**,0,0,0,0,0,0,53,1435,53,1555,31,461,20,119
98847,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,0,0,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98848,,"4,540","1,923","2,621","11,961","4,619","187,085","4,039","126,101","1,211","4,712",601,"2,375",521,"1,776",410,"3,418",169,445,"5,042",207,"2,128",521,"8,511",516,"2,495",415,"4,753",0,0,656,"13,773",29,199,464,836,556,"1,429",644,"2,722",482,"4,592",470,"2,919","3,039","105,995","1,570","1,684",77,57,"1,141","1,204",140,71,"1,606","2,565","1,017","2,339",924,"2,147",28,73,"2,241","16,590","2,376","18,450",571,"7,021","3,772","10,871"
98848,"$1 under $25,000",2202,392,1204,4878,1787,29870,1959,25713,295,349,138,200,121,124,143,799,37,87,-53,52,281,165,1408,248,1022,43,60,0,0,82,1263,**,**,58,47,63,144,77,205,45,303,58,162,820,4383,302,100,**,**,204,63,28,8,993,1404,678,1782,637,1674,0,0,553,372,626,511,116,71,1966,4502
98848,"$25,000 under $50,000",1306,681,777,4106,1780,46753,1188,39796,310,649,123,398,103,264,104,757,56,91,82,61,574,147,2272,161,838,161,1102,0,0,157,2605,**,**,115,177,135,266,153,491,119,1006,85,226,1188,18755,725,648,**,**,598,544,58,28,561,1095,339,557,287,473,0,0,717,1546,766,1796,139,226,1145,3740
98848,"$50,000 under $75,000",528,415,292,1599,622,32189,475,25723,233,462,107,280,93,205,74,620,**,79,39,43,399,102,1947,82,420,96,1321,0,0,143,2700,29,199,97,149,127,251,141,454,118,1031,100,409,527,19378,293,496,45,33,223,401,31,18,52,66,0,0,0,0,**,**,472,2093,483,2290,99,252,408,1265
98848,"$75,000 under $100,000",225,192,128,620,199,19506,200,14505,140,571,71,139,63,94,38,224,21,49,47,23,359,50,1148,25,215,56,1013,0,0,92,1857,**,**,56,109,80,192,91,361,75,789,74,316,225,13853,110,186,32,24,72,134,23,17,**,**,0,0,0,0,**,**,222,1820,223,2032,64,287,148,485
98848,"$100,000 under $200,000",217,189,159,588,177,28531,181,16796,174,772,110,538,97,407,51,1018,34,89,644,28,515,57,1736,**,**,59,1257,0,0,134,3372,**,**,98,222,115,392,134,768,103,1194,109,848,217,22021,113,135,**,**,44,62,**,**,**,**,0,0,0,0,28,73,215,3685,216,4098,105,1207,105,879
98848,"$200,000 or more",62,54,61,170,54,30236,36,3568,59,1909,52,820,44,682,**,**,21,50,4283,**,**,**,**,0,0,**,**,0,0,48,1976,**,**,40,132,36,184,48,443,22,269,44,958,62,27605,27,119,**,**,0,0,0,0,0,0,0,0,0,0,**,**,62,7074,62,7723,48,4978,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
