adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98923,620,1580,644,20808,552,17581,207,269,78,118,71,233,55,311,33,-276,11,54,0,0,112,7637,1958,94,6648,275,114,7588,386,0,0,431,1766,370,1673,141,289,353
"Under $10,000        ",117,195,55,138,100,562,36,37,13,25,11,8,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,16,2,24,7,38,48,52
"$10,000 under $25,000",199,497,229,3440,178,3118,46,41,15,8,13,11,28,73,21,-163,0,0,0,0,15,257,258,11,173,11,17,208,36,0,0,113,85,94,93,75,212,125
"$25,000 under $50,000",170,470,192,6141,150,5149,59,114,16,51,17,88,16,225,*,*,11,54,0,0,35,1392,540,29,1171,73,35,1392,98,0,0,168,351,123,306,28,29,101
"$50,000 under $75,000",84,265,108,5170,81,4622,36,11,16,23,20,82,11,13,12,-113,*,*,0,0,32,2022,530,27,1686,72,32,2022,101,0,0,84,437,79,365,0,0,49
"$75,000 under $100,000",28,88,35,2352,25,1962,14,8,18,11,*,*,*,*,0,0,0,0,0,0,14,1187,285,12,1018,29,14,1187,67,0,0,28,249,28,230,0,0,11
"$100,000 or more     ",22,65,25,3567,18,2168,16,58,*,*,10,44,*,*,*,*,*,*,0,0,16,2779,345,15,2600,90,16,2779,84,0,0,22,642,22,672,0,0,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98925,319,661,177,16812,246,11092,173,291,86,258,67,302,38,1265,*,*,0,0,*,*,124,10577,2375,86,8542,141,123,10522,612,*,*,264,1919,256,2017,29,40,183
"Under $10,000        ",52,71,11,176,38,219,17,4,17,9,*,*,12,63,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,12,1,14,3,14,19,20
"$10,000 under $25,000",56,93,23,997,35,554,26,29,*,*,15,43,*,*,0,0,0,0,0,0,16,279,229,*,*,*,16,251,42,0,0,45,31,45,42,15,21,33
"$25,000 under $50,000",95,200,59,3381,72,2318,51,123,25,32,18,40,16,183,0,0,0,0,0,0,34,1200,512,30,922,31,33,1173,113,0,0,91,224,84,230,*,*,58
"$50,000 under $75,000",59,150,50,3651,51,2827,34,35,22,29,15,36,*,*,*,*,0,0,0,0,31,1917,505,19,1165,15,31,1917,113,0,0,59,342,56,324,0,0,38
"$75,000 under $100,000",23,62,16,2060,19,1463,15,48,*,*,*,*,10,1019,0,0,0,0,0,0,14,1266,352,11,999,10,14,1266,63,0,0,23,203,23,205,0,0,13
"$100,000 or more     ",34,85,18,6547,31,3711,30,52,22,188,19,183,*,*,0,0,0,0,*,*,29,5915,777,26,5456,85,29,5915,281,*,*,34,1118,34,1213,0,0,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98926,10371,20382,5498,447776,8656,295764,5101,11100,2484,8094,2298,47039,1588,19645,554,-5122,291,1052,90,1171,2884,226310,52279,2179,187174,8743,2888,220781,11731,107,375,8007,48098,7739,48826,1189,1761,5268
"Under $10,000        ",2420,3034,382,4486,1989,11491,637,693,326,641,314,1151,234,-387,88,-1911,*,*,0,0,70,423,999,33,204,33,103,-3751,328,0,0,624,106,760,252,541,475,960
"$10,000 under $25,000",2406,3854,887,40711,1951,31429,868,1295,366,583,307,565,265,1571,61,-425,44,134,*,*,261,4783,3818,181,3353,319,254,4664,610,0,0,1904,1548,1774,1721,462,1101,1147
"$25,000 under $50,000",2391,4918,1449,86861,2030,67689,1189,1656,496,1004,472,1273,370,3536,120,-1042,84,278,12,63,733,28156,10352,494,19085,1020,719,27612,2103,0,0,2334,6111,2105,6063,186,185,1263
"$50,000 under $75,000",1519,4012,1331,93239,1315,70276,1029,1603,477,1145,411,1920,332,3895,106,-865,71,239,14,145,743,46059,12162,536,33311,1368,738,45749,2819,*,*,1512,8482,1473,8043,0,0,833
"$75,000 under $100,000",859,2416,778,73474,723,52574,677,1316,383,1196,338,2962,171,2058,73,-248,48,178,13,125,526,45002,9539,437,37512,1257,525,44924,2368,*,*,858,7716,853,7541,0,0,498
"$100,000 or more     ",776,2148,671,149005,648,62305,701,4537,436,3525,456,39168,216,8972,106,-631,44,223,51,838,551,101887,15409,498,93709,4746,549,101583,3503,107,375,775,24135,774,25206,0,0,567
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98930,4834,12790,5810,155094,4381,127692,1325,3865,494,1385,458,5696,548,3814,251,-719,53,183,12,192,680,46644,10797,516,38296,1818,678,44844,2356,15,32,3294,12873,2623,12206,1528,3282,3128
"Under $10,000        ",935,1625,555,472,798,4400,168,222,66,41,66,246,103,2,40,-674,*,*,0,0,14,81,188,11,68,23,24,-1012,51,0,0,133,20,213,93,404,651,566
"$10,000 under $25,000",1625,4111,2038,27852,1486,24182,252,293,76,95,73,124,144,968,46,-223,*,*,0,0,60,1117,857,34,626,83,58,1076,129,0,0,946,620,649,629,791,2229,1090
"$25,000 under $50,000",1371,4302,2155,48132,1280,42862,362,596,110,218,102,303,150,953,54,-264,27,89,*,*,207,7616,2844,139,5158,307,201,7401,582,0,0,1312,2652,888,2117,333,402,901
"$50,000 under $75,000",504,1562,640,30406,466,25644,249,413,102,189,79,138,77,511,44,138,13,43,12,192,163,9852,2410,126,7590,400,162,9799,493,0,0,504,2705,474,2363,0,0,299
"$75,000 under $100,000",219,688,262,18934,199,15850,146,385,55,86,50,552,36,263,27,-50,13,51,*,*,121,10498,2081,104,9064,313,119,10327,492,*,*,219,2019,219,1911,0,0,142
"$100,000 or more     ",180,502,160,29298,152,14754,148,1956,85,756,88,4333,38,1117,40,354,*,*,*,*,115,17480,2417,102,15790,692,114,17253,609,15,32,180,4857,180,5093,0,0,130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98932,1590,4556,2309,40900,1471,35941,335,528,102,130,105,1047,123,366,82,-372,20,63,0,0,132,9231,2272,99,7077,403,130,9146,420,0,0,959,2622,673,2347,632,1439,1041
"Under $10,000        ",360,698,279,635,312,1847,53,22,20,6,24,212,31,-4,15,-169,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,48,7,76,37,179,299,227
"$10,000 under $25,000",629,1792,967,10816,589,9442,94,137,26,14,23,115,42,197,16,-98,*,*,0,0,21,391,291,16,289,60,20,354,43,0,0,334,197,211,183,327,988,408
"$25,000 under $50,000",429,1508,831,14742,414,13385,89,95,37,38,24,50,23,100,16,-30,20,63,0,0,43,1731,550,29,1196,41,42,1683,98,0,0,405,747,220,515,126,152,290
"$50,000 under $75,000",100,338,150,5936,93,5277,46,18,*,*,15,91,14,-11,23,-40,*,*,0,0,26,1554,422,21,1228,50,26,1554,79,0,0,100,490,94,399,0,0,66
"$75,000 under $100,000",36,110,40,3112,33,2652,23,8,*,*,*,*,13,84,12,-35,0,0,0,0,18,1586,299,12,1048,24,18,1586,72,0,0,36,335,36,337,0,0,22
"$100,000 or more     ",36,110,42,5659,30,3338,30,248,19,72,19,579,*,*,*,*,*,*,0,0,24,3969,710,21,3316,228,24,3969,128,0,0,36,846,36,876,0,0,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98933,554,1511,721,19393,498,15525,137,240,50,65,42,224,40,198,19,-313,*,*,0,0,51,4162,819,36,2547,76,50,4120,121,*,*,394,2214,312,2095,142,286,367
"Under $10,000        ",103,187,67,-295,89,572,19,2,*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,17,5,21,7,42,51,55
"$10,000 under $25,000",186,494,248,3176,160,2705,25,37,19,9,16,18,16,102,*,*,0,0,0,0,*,*,*,12,364,16,*,*,*,0,0,118,81,87,84,69,193,139
"$25,000 under $50,000",158,496,263,5356,151,5013,31,5,18,11,11,12,12,33,19,-313,*,*,0,0,18,548,238,*,*,*,17,506,28,0,0,152,297,101,228,31,42,104
"$50,000 under $75,000",54,181,86,3244,46,2578,25,27,*,*,*,*,12,63,*,*,*,*,0,0,11,663,144,10,596,38,11,663,27,*,*,54,291,50,260,0,0,34
"$75,000 under $100,000",36,107,43,3058,35,2519,22,108,13,45,15,194,*,*,*,*,*,*,0,0,22,2951,437,14,1587,22,22,2951,66,0,0,36,362,36,336,0,0,22
"$100,000 or more     ",17,46,14,4854,17,2138,15,61,*,*,*,*,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,17,1178,17,1180,0,0,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98934,512,1163,412,17438,457,14407,167,87,54,28,46,75,51,205,*,*,*,*,0,0,119,7025,2016,70,4280,167,116,6755,389,0,0,385,1374,349,1301,111,206,289
"Under $10,000        ",96,145,32,455,77,404,14,3,15,6,16,2,15,21,0,0,0,0,0,0,*,*,*,10,170,7,*,*,*,0,0,15,2,26,10,38,40,45
"$10,000 under $25,000",157,323,125,2736,141,2266,37,40,*,*,*,*,11,76,*,*,0,0,0,0,14,241,173,*,*,*,13,207,24,0,0,112,88,97,90,56,148,91
"$25,000 under $50,000",148,368,136,5439,135,4746,53,20,25,11,19,4,11,0,*,*,*,*,0,0,49,1846,611,26,959,50,49,1846,99,0,0,147,344,119,276,17,18,84
"$50,000 under $75,000",62,183,68,3807,59,3245,31,10,*,*,*,*,14,108,*,*,*,*,0,0,28,1774,404,14,920,45,27,1718,89,0,0,62,341,58,307,0,0,37
"$75,000 under $100,000",36,106,37,3079,34,2550,32,14,14,11,11,69,*,*,0,0,0,0,0,0,18,1559,457,20,2231,65,27,2984,177,0,0,36,320,36,335,0,0,32
"$100,000 or more     ",13,38,14,1922,11,1196,*,*,*,*,*,*,*,*,0,0,0,0,0,0,10,1605,371,*,*,*,*,*,*,0,0,13,279,13,283,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98935,1386,3865,1935,35340,1280,31126,260,450,79,111,94,898,122,675,80,-318,*,*,*,*,116,6634,1565,74,4700,243,114,5683,297,*,*,870,2417,617,2234,527,1208,902
"Under $10,000        ",290,544,210,-860,252,1548,41,30,21,10,13,76,29,30,17,-14,0,0,0,0,*,*,*,*,*,*,10,-693,13,*,*,35,4,66,54,137,216,175
"$10,000 under $25,000",536,1465,778,9239,508,8243,68,91,*,*,13,21,43,303,18,-9,0,0,0,0,20,295,200,*,*,*,13,230,21,0,0,287,172,170,157,298,868,355
"$25,000 under $50,000",397,1344,733,13737,374,12325,66,110,18,32,18,104,33,376,16,-8,*,*,0,0,39,1494,450,35,1164,36,35,1354,67,0,0,385,722,230,531,92,124,250
"$50,000 under $75,000",107,352,160,6459,96,5304,46,110,29,51,25,182,17,-34,12,-72,*,*,0,0,33,1982,470,27,1826,106,32,1929,107,0,0,107,560,96,464,0,0,77
"$75,000 under $100,000",31,98,40,2675,29,2069,18,32,*,*,11,143,*,*,17,-215,0,0,*,*,10,877,154,*,*,*,10,877,33,0,0,31,295,30,311,0,0,24
"$100,000 or more     ",25,62,14,4090,21,1637,21,77,11,18,14,372,0,0,*,*,0,0,0,0,14,1986,291,12,1710,101,14,1986,56,*,*,25,664,25,717,0,0,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98936,1991,4823,1832,77567,1813,65386,781,1399,279,612,265,4379,265,1820,89,-479,34,103,*,*,503,31467,7684,398,26619,935,501,30911,1745,*,*,1567,6710,1380,6213,378,713,1181
"Under $10,000        ",314,425,70,683,251,1486,85,86,38,25,42,-12,38,-181,11,-113,*,*,0,0,11,67,161,*,*,*,15,-196,24,0,0,67,12,99,39,88,92,166
"$10,000 under $25,000",503,1103,461,8965,439,7626,123,121,46,48,39,63,61,347,20,-101,*,*,0,0,54,1049,665,44,762,88,53,1028,115,0,0,342,257,276,279,194,517,311
"$25,000 under $50,000",623,1667,725,22820,594,20538,224,203,59,99,49,102,69,475,18,-167,16,37,0,0,168,6555,2253,122,4782,202,166,6475,424,0,0,607,1453,465,1189,96,104,362
"$50,000 under $75,000",324,945,335,19757,313,17809,176,255,59,86,52,162,38,116,12,-32,18,66,*,*,132,8095,1941,108,6571,227,130,7980,391,0,0,324,1736,315,1498,0,0,181
"$75,000 under $100,000",138,432,161,11863,134,10431,90,190,31,159,30,238,29,285,16,-119,*,*,0,0,79,6779,1382,67,5798,175,78,6702,354,0,0,138,1229,137,1139,0,0,91
"$100,000 or more     ",89,251,80,13479,82,7496,83,544,46,195,53,3826,30,778,12,53,*,*,*,*,59,8922,1282,57,8706,243,59,8922,437,*,*,89,2023,88,2069,0,0,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98937,1848,3878,1113,77504,1501,55851,833,2324,403,1115,378,5883,283,1891,73,-635,43,129,*,*,504,37159,8791,379,29661,1028,504,36742,1988,16,28,1431,7961,1362,7826,259,417,1040
"Under $10,000        ",356,482,76,-258,257,1330,99,138,57,70,48,63,53,-145,22,-255,0,0,0,0,19,105,294,*,*,*,23,-132,44,0,0,58,8,82,26,99,95,172
"$10,000 under $25,000",415,725,200,7162,315,5258,125,207,60,123,60,92,39,251,*,*,*,*,0,0,43,725,692,36,506,49,43,725,97,0,0,310,235,279,269,112,269,216
"$25,000 under $50,000",511,1141,348,18682,438,14519,239,445,99,147,99,264,87,431,20,-44,24,66,0,0,131,4959,1890,88,3277,217,129,4898,353,0,0,497,1252,441,1175,48,53,299
"$50,000 under $75,000",299,768,242,18310,257,14115,179,423,75,208,64,207,61,505,21,-250,19,63,0,0,124,7631,1919,94,5777,184,122,7512,454,0,0,299,1707,293,1594,0,0,183
"$75,000 under $100,000",160,466,156,13692,146,10948,101,237,54,158,46,244,21,328,*,*,*,*,0,0,104,8948,2021,83,7188,180,104,8948,459,*,*,160,1416,160,1341,0,0,94
"$100,000 or more     ",107,296,91,19916,88,9681,90,874,58,409,61,5013,22,521,10,-86,*,*,*,*,83,14791,1975,78,12913,398,83,14791,581,16,28,107,3343,107,3421,0,0,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98938,706,1940,902,30381,612,19877,245,782,84,138,90,1279,77,478,63,188,*,*,*,*,104,9106,1615,81,8003,336,101,8949,298,*,*,495,3780,408,3867,197,469,505
"Under $10,000        ",123,213,71,280,85,452,37,54,16,11,20,12,18,73,*,*,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,25,4,43,28,45,78,84
"$10,000 under $25,000",253,638,308,4190,226,3563,57,65,17,18,19,10,23,205,20,-60,0,0,0,0,15,273,152,*,*,*,14,228,15,0,0,149,92,114,114,112,341,183
"$25,000 under $50,000",181,590,307,6332,164,5533,51,40,11,3,11,54,19,193,15,-58,*,*,0,0,30,1153,427,30,979,77,29,1104,61,0,0,172,346,106,258,40,50,124
"$50,000 under $75,000",81,264,113,4938,76,4325,49,52,22,17,22,146,17,7,18,108,*,*,0,0,26,1619,387,22,1381,60,25,1556,75,0,0,81,429,77,392,0,0,57
"$75,000 under $100,000",33,103,39,2827,32,2518,19,11,*,*,*,*,*,*,*,*,0,0,0,0,15,1320,243,12,1035,50,15,1320,56,0,0,33,299,33,278,0,0,26
"$100,000 or more     ",35,132,64,11814,29,3486,32,560,18,89,18,1057,*,*,10,198,0,0,*,*,18,4741,406,17,4608,149,18,4741,91,*,*,35,2610,35,2797,0,0,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98939,204,513,233,4375,193,3869,26,45,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,118,213,89,154,83,162,134
"Under $10,000        ",47,80,24,273,43,257,12,2,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,26,30,28
"$10,000 under $25,000",102,257,124,1734,98,1585,*,*,0,0,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,44,50,39,44,115,69
"$25,000 under $50,000",40,124,62,1376,38,1182,14,43,*,*,*,*,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,37,76,25,50,13,17,37
"$50,000 under $75,000",15,52,23,992,14,845,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,93,14,65,0,0,*
"$75,000 under $100,000",*,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,*
"$100,000 or more     ",*,*,*,*,0,0,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,0,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98940,208,415,98,10215,149,7324,118,260,58,51,60,268,33,21,0,0,*,*,0,0,91,7588,1688,69,6581,96,96,6847,540,*,*,162,1232,168,1241,22,30,119
"Under $10,000        ",36,62,16,-600,20,109,13,30,15,10,17,37,11,-103,0,0,0,0,0,0,10,125,128,*,*,*,16,-571,43,0,0,0,0,*,*,11,18,18
"$10,000 under $25,000",38,57,8,706,25,357,17,24,*,*,*,*,10,118,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,29,33,37,40,11,12,23
"$25,000 under $50,000",53,100,27,2001,36,1230,30,66,12,16,11,27,*,*,0,0,0,0,0,0,23,890,295,18,548,16,22,845,81,0,0,52,149,51,154,*,*,30
"$50,000 under $75,000",34,78,18,2142,27,1506,22,23,21,23,19,-12,12,6,0,0,0,0,0,0,17,1099,315,13,848,9,17,1099,90,0,0,34,194,33,178,0,0,19
"$75,000 under $100,000",24,58,13,2009,20,1311,16,77,*,*,*,*,*,*,0,0,*,*,0,0,18,1517,375,16,1358,26,18,1517,107,0,0,24,205,24,211,0,0,10
"$100,000 or more     ",23,60,16,3957,21,2811,20,40,10,2,13,216,*,*,0,0,0,0,0,0,23,3957,575,22,3827,45,23,3957,219,*,*,23,651,23,658,0,0,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98941,571,1048,261,26332,466,17632,275,450,141,311,114,1489,89,1310,*,*,14,31,*,*,176,14317,3034,133,11735,276,174,14098,731,*,*,469,2984,468,3091,76,107,304
"Under $10,000        ",99,123,15,49,74,428,28,8,16,18,17,-14,14,-18,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,23,3,34,12,25,19,42
"$10,000 under $25,000",129,199,47,2168,101,1615,52,72,22,25,15,5,13,105,0,0,*,*,0,0,18,263,206,12,185,11,17,192,25,0,0,105,83,97,91,33,74,65
"$25,000 under $50,000",157,283,79,5763,132,4372,66,53,26,31,21,46,27,431,0,0,14,31,0,0,55,2161,762,44,1727,71,55,2161,138,0,0,155,449,151,476,18,14,83
"$50,000 under $75,000",95,216,54,5819,79,4102,58,81,29,52,22,110,25,262,0,0,*,*,0,0,44,2727,726,32,1982,49,44,2727,187,0,0,95,556,95,540,0,0,58
"$75,000 under $100,000",45,111,32,3855,37,2510,32,34,21,41,17,196,*,*,*,*,*,*,0,0,26,2280,442,15,1319,23,26,2280,126,0,0,45,441,45,459,0,0,31
"$100,000 or more     ",46,116,34,8678,43,4605,39,202,27,144,22,1146,10,530,0,0,*,*,*,*,33,6886,898,30,6522,122,32,6738,255,*,*,46,1452,46,1513,0,0,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98942,7018,15764,5276,317248,6131,252178,3070,8391,1348,3553,1208,10896,985,10342,239,-2984,159,528,34,440,2269,178817,38666,1848,154367,5172,2274,173373,9781,61,155,5633,34405,5279,33231,1012,1834,3836
"Under $10,000        ",1229,1679,308,-1511,964,6218,318,523,144,194,147,1365,136,-314,41,-1277,0,0,0,0,33,181,399,18,102,17,63,-4178,225,0,0,283,46,382,159,311,391,563
"$10,000 under $25,000",1568,2825,879,26990,1322,21769,413,479,157,247,138,207,149,986,34,-171,18,39,0,0,163,3078,2184,110,2116,195,155,2913,379,0,0,1169,913,1015,979,479,1218,879
"$25,000 under $50,000",1797,4141,1500,65414,1602,54539,689,1040,276,427,249,633,242,1687,47,-370,38,124,10,70,539,20474,7490,382,14530,734,530,20165,1604,0,0,1761,4367,1510,3900,222,225,1010
"$50,000 under $75,000",1143,3231,1161,70268,1069,59996,685,701,270,333,215,691,211,1731,49,-456,48,142,*,*,596,37044,9360,493,30584,1081,591,36715,2282,*,*,1141,6242,1099,5610,0,0,636
"$75,000 under $100,000",693,2087,758,59937,644,49052,486,1111,220,424,196,1139,112,1071,28,-202,32,125,*,*,460,40004,8230,401,34925,1101,458,39849,2077,*,*,692,6338,686,5966,0,0,369
"$100,000 or more     ",588,1801,670,96150,530,60604,479,4537,281,1928,263,6861,135,5181,40,-508,23,98,24,370,478,78036,11003,444,72110,2044,477,77909,3214,61,155,587,16499,587,16617,0,0,379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98943,445,951,293,18196,367,13089,214,306,95,112,82,523,69,472,*,*,*,*,*,*,146,9155,2464,115,7337,172,145,9015,577,*,*,358,1649,350,1638,58,104,268
"Under $10,000        ",66,103,23,220,48,332,21,7,*,*,*,*,10,7,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,14,2,21,7,21,18,33
"$10,000 under $25,000",117,213,60,2008,90,1353,46,71,28,12,27,-8,14,170,0,0,0,0,0,0,23,396,230,16,281,9,24,378,48,0,0,87,67,89,92,26,74,64
"$25,000 under $50,000",125,274,95,4660,105,3543,53,80,20,40,16,18,16,125,0,0,*,*,0,0,43,1633,688,33,1240,66,42,1597,123,0,0,120,323,105,296,11,12,77
"$50,000 under $75,000",83,206,63,5080,77,4136,52,48,23,31,22,76,18,53,0,0,*,*,*,*,43,2645,771,35,2173,46,43,2645,164,0,0,83,456,81,433,0,0,52
"$75,000 under $100,000",32,95,35,2825,29,2148,21,27,13,1,*,*,11,117,*,*,0,0,0,0,21,1871,387,19,1701,19,20,1785,121,0,0,32,308,32,297,0,0,23
"$100,000 or more     ",22,60,17,3403,18,1577,21,73,11,28,17,437,*,*,0,0,0,0,0,0,16,2610,388,12,1942,32,16,2610,121,*,*,22,493,22,513,0,0,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98944,6914,18557,8775,220166,6209,169398,2007,5311,760,1866,695,10207,788,11141,280,-2088,99,417,40,519,901,64799,14996,694,55061,3178,906,62898,2854,36,129,4597,20163,3543,19686,2280,5178,4639
"Under $10,000        ",1426,2501,896,499,1214,6953,274,355,112,156,116,897,139,465,46,-1485,0,0,0,0,21,131,276,10,60,19,36,-1468,62,*,*,230,36,340,155,602,958,904
"$10,000 under $25,000",2526,6614,3407,43220,2286,37031,455,704,125,210,103,133,221,1580,41,-64,*,*,0,0,115,2099,1491,72,1365,216,110,2011,192,0,0,1478,905,998,944,1254,3705,1729
"$25,000 under $50,000",1808,5875,3039,62955,1692,55529,507,600,161,287,139,559,197,1641,58,-159,43,154,*,*,273,10332,3618,185,7099,488,270,10228,622,0,0,1735,3322,1095,2531,424,515,1199
"$50,000 under $75,000",642,1988,841,39182,583,32308,366,590,138,320,133,599,118,1845,64,-128,35,155,24,230,226,13990,3454,187,11689,641,224,13880,643,*,*,642,3511,601,3253,0,0,434
"$75,000 under $100,000",251,791,309,21406,227,16497,187,469,84,126,72,304,40,764,34,218,10,36,*,*,112,9653,1930,96,8306,339,112,9653,420,0,0,251,2302,249,2249,0,0,163
"$100,000 or more     ",261,788,283,52904,207,21080,218,2593,140,767,132,7715,73,4846,37,-470,11,72,16,289,154,28594,4227,144,26542,1475,154,28594,915,36,129,261,10087,260,10554,0,0,210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98946,245,527,158,10112,202,7059,121,118,48,63,44,672,54,335,22,-69,*,*,0,0,72,4993,1346,43,3390,111,70,4897,269,*,*,195,1021,190,1052,32,55,134
"Under $10,000        ",42,59,8,-60,30,197,17,17,13,10,10,163,*,*,*,*,0,0,0,0,0,0,0,*,*,*,0,0,0,0,0,*,*,10,6,*,*,20
"$10,000 under $25,000",59,98,25,1061,46,773,20,13,*,*,*,*,21,163,*,*,*,*,0,0,11,221,141,*,*,*,10,207,11,0,0,55,42,50,60,22,45,25
"$25,000 under $50,000",73,168,53,2741,64,1982,37,27,12,10,11,-10,21,220,22,-69,0,0,0,0,21,822,381,17,557,27,21,822,64,0,0,69,183,60,205,10,10,42
"$50,000 under $75,000",37,98,32,2209,33,1756,23,22,13,7,13,30,12,-48,*,*,0,0,0,0,17,1024,265,14,1001,35,26,1811,115,0,0,37,247,36,254,0,0,26
"$75,000 under $100,000",17,54,22,1448,15,1044,12,20,10,36,*,*,*,*,*,*,0,0,0,0,10,869,232,*,*,*,*,*,*,0,0,17,143,17,129,0,0,11
"$100,000 or more     ",17,50,18,2713,14,1307,12,19,*,*,10,489,*,*,*,*,0,0,0,0,13,2057,327,12,1832,49,13,2057,79,*,*,17,406,17,398,0,0,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98947,1011,2589,1069,30643,920,29812,327,522,138,277,120,1292,95,552,88,-1358,13,26,*,*,186,11616,3158,127,8676,325,189,9933,653,*,*,743,2599,593,2807,235,491,650
"Under $10,000        ",183,293,63,-4038,145,1290,64,194,33,56,31,208,17,74,24,-842,0,0,0,0,*,*,*,*,*,*,10,-1656,23,0,0,32,5,46,20,51,58,107
"$10,000 under $25,000",325,768,345,5758,296,5141,53,69,22,28,19,0,26,53,11,25,*,*,0,0,28,447,330,14,254,12,21,420,44,0,0,217,143,154,139,132,375,218
"$25,000 under $50,000",299,919,435,10884,289,10106,88,56,32,41,23,121,25,214,23,-313,0,0,0,0,52,1962,705,34,1317,53,52,1962,138,0,0,293,612,200,464,52,58,197
"$50,000 under $75,000",118,356,138,7132,108,5867,64,83,36,103,28,31,12,153,14,-130,13,26,0,0,52,3219,932,35,2151,91,52,3219,181,0,0,116,602,109,519,0,0,70
"$75,000 under $100,000",42,127,46,3597,42,3298,22,5,*,*,*,*,15,58,16,-98,*,*,0,0,25,2160,427,17,1457,40,25,2160,88,0,0,42,387,40,371,0,0,27
"$100,000 or more     ",44,126,42,7310,40,4110,36,115,15,49,19,932,*,*,*,*,0,0,*,*,29,3828,764,27,3497,129,29,3828,179,*,*,43,850,44,1294,0,0,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98948,4387,11359,5413,117608,4023,101304,904,1438,290,750,266,2452,301,2329,90,-591,39,104,0,0,340,22266,5338,253,17077,897,333,21913,938,*,*,2924,8093,2183,7249,1660,3465,2949
