adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
"$100,000 or more     ",*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98826,2987,5898,1442,127278,2274,72942,1677,4289,893,3656,811,8729,545,6259,25,-243,143,451,21,252,1004,74494,20061,808,60404,2444,1019,72415,5057,20,67,2274,13790,2238,14110,348,491,1437
"Under $10,000        ",644,855,93,-556,442,2941,272,298,125,157,114,-32,109,-31,13,-38,*,*,*,*,40,246,692,18,101,17,60,-1407,223,--,--,137,24,204,99,150,121,272
"$10,000 under $25,000",748,1213,257,12647,558,8442,317,595,167,335,137,66,112,810,*,*,24,50,--,--,116,2083,1450,86,1569,148,116,2083,300,--,--,578,446,551,554,135,314,335
"$25,000 under $50,000",748,1642,481,26995,605,18812,414,752,210,715,187,432,137,1055,*,*,42,130,*,*,297,11065,4810,226,8388,424,294,10968,1118,--,--,716,1710,647,1702,63,56,350
"$50,000 under $75,000",414,1046,295,25233,331,16051,302,669,171,553,149,754,89,823,12,-205,41,119,*,*,238,14644,4234,197,12126,439,238,14644,1231,--,--,412,2168,403,2118,--,--,209
"$75,000 under $100,000",215,577,164,18556,175,11432,173,335,89,300,88,933,46,765,*,*,12,52,21,252,144,12457,2787,129,11163,377,144,12457,708,--,--,214,1953,215,1962,--,--,124
"$100,000 or more     ",218,565,152,44403,163,15264,199,1640,131,1596,136,6576,52,2837,*,*,24,100,*,*,169,33999,6088,152,27057,1039,167,33670,1477,20,67,217,7489,218,7675,--,--,147
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98827,123,252,67,4601,86,2032,49,112,15,27,20,166,13,192,10,39,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,88,480,84,539,24,36,68
"Under $10,000        ",24,27,2,40,18,80,10,19,*,*,10,3,*,*,10,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,11
"$10,000 under $25,000",38,78,22,657,28,451,11,21,*,*,*,*,13,192,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,17,26,34,24,36,16
"$25,000 under $50,000",35,89,31,1132,26,795,13,2,15,27,10,163,*,*,*,*,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,33,65,33,75,*,*,24
"$50,000 under $75,000",15,35,9,919,14,706,15,70,*,*,*,*,--,--,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,15,92,15,88,--,--,17
"$75,000 under $100,000",11,23,3,1853,--,--,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11,306,10,342,--,--,*
"$100,000 or more     ",*,*,*,*,--,--,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98828,877,1967,659,33428,759,25746,353,541,134,196,119,324,103,18,42,-47,20,48,*,*,240,15981,3644,200,14114,462,238,15878,948,*,*,667,3345,608,3134,167,299,436
"Under $10,000        ",178,251,51,368,141,632,45,23,20,3,18,-2,12,-33,12,-41,--,--,--,--,*,*,*,14,158,24,10,37,18,--,--,43,5,54,14,53,62,71
"$10,000 under $25,000",229,481,183,3838,202,3335,59,71,16,22,12,9,15,-77,*,*,10,24,--,--,26,323,415,*,*,*,17,285,54,--,--,156,111,122,106,85,218,112
"$25,000 under $50,000",234,572,208,8630,202,7071,96,185,29,55,30,62,32,-10,17,-92,*,*,--,--,74,2858,887,63,2467,78,71,2756,230,--,--,232,582,199,514,29,19,121
"$50,000 under $75,000",136,379,128,8376,124,6996,76,76,36,32,30,-3,21,65,13,86,10,24,--,--,70,4365,1005,59,3707,169,70,4365,258,--,--,136,763,134,703,--,--,72
"$75,000 under $100,000",66,189,59,5769,61,4655,46,34,17,12,14,-6,13,77,*,*,*,*,*,*,44,3856,700,39,3420,93,44,3856,209,--,--,66,646,65,624,--,--,35
"$100,000 or more     ",34,95,30,6447,29,3057,31,152,16,72,15,264,10,-4,*,*,--,--,*,*,26,4579,637,25,4362,98,26,4579,179,*,*,34,1238,34,1173,--,--,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98829,269,630,226,7816,230,5909,94,50,33,34,30,272,14,-18,11,-135,*,*,--,--,34,2137,550,12,780,10,33,2086,126,--,--,180,531,160,476,76,133,145
"Under $10,000        ",69,106,24,295,52,323,14,3,*,*,*,*,*,*,11,-135,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,2,22,6,31,34,28
"$10,000 under $25,000",80,199,88,1363,72,1103,16,3,*,*,*,*,14,-18,--,--,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,47,28,32,29,33,89,43
"$25,000 under $50,000",71,190,71,2631,63,2048,35,29,20,19,15,11,*,*,*,*,--,--,--,--,21,882,287,12,780,10,20,831,78,--,--,70,159,57,136,12,10,45
"$50,000 under $75,000",31,75,16,1831,27,1308,16,14,13,15,15,261,*,*,*,*,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,31,162,31,146,--,--,18
"$75,000 under $100,000",18,60,27,1696,16,1127,13,1,*,*,*,*,*,*,--,--,--,--,--,--,13,1255,263,*,*,*,13,1255,48,--,--,18,180,18,159,--,--,11
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98830,214,421,99,6972,160,4287,110,117,53,60,51,-12,15,33,24,282,10,39,*,*,30,1557,485,19,987,30,31,1507,59,--,--,157,574,152,656,35,58,127
"Under $10,000        ",43,64,15,163,30,159,14,6,19,17,10,-9,*,*,*,*,--,--,--,--,--,--,--,*,*,*,*,*,*,--,--,*,*,*,*,13,16,19
"$10,000 under $25,000",60,103,21,977,39,584,29,26,*,*,10,0,15,33,14,-7,10,39,--,--,15,394,194,*,*,*,16,344,20,--,--,48,27,49,35,22,42,37
"$25,000 under $50,000",66,148,39,2410,56,1561,35,67,19,22,20,4,*,*,*,*,*,*,--,--,*,*,*,19,987,30,*,*,*,--,--,65,167,59,179,*,*,42
"$50,000 under $75,000",25,58,14,1503,19,996,18,13,15,21,11,-7,*,*,10,289,--,--,--,--,15,1163,291,*,*,*,15,1163,39,--,--,24,134,24,133,--,--,17
"$75,000 under $100,000",20,48,10,1919,16,987,14,5,*,*,*,*,*,*,*,*,--,--,*,*,*,*,*,*,*,*,*,*,*,--,--,20,246,20,309,--,--,12
"$100,000 or more     ",*,*,*,*,*,*,*,*,--,--,*,*,--,--,*,*,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98831,1156,2621,891,45305,954,25481,461,1857,284,1130,259,3524,152,1773,66,-183,34,112,*,*,291,26048,5512,248,24371,684,297,24894,1597,10,28,837,5241,700,5348,218,402,540
"Under $10,000        ",271,395,82,-2113,216,1313,59,101,38,57,33,30,18,-19,20,-276,--,--,--,--,11,77,137,*,*,*,21,-974,77,--,--,66,10,83,24,52,67,101
"$10,000 under $25,000",350,762,305,5914,308,4935,88,178,42,124,37,26,30,136,10,53,14,40,--,--,44,791,661,40,676,64,42,753,101,--,--,244,148,165,139,122,295,152
"$25,000 under $50,000",273,794,324,9759,225,7111,112,215,59,135,56,162,36,307,12,193,*,*,--,--,75,2824,1092,58,2184,132,73,2759,259,--,--,265,525,197,494,44,40,128
"$50,000 under $75,000",132,347,103,8014,101,4349,96,346,66,268,57,220,37,560,11,-58,20,72,--,--,73,4459,1358,65,3963,131,73,4459,374,--,--,132,668,126,710,--,--,72
"$75,000 under $100,000",56,138,32,4800,44,2677,42,69,28,138,23,253,10,203,13,-95,*,*,*,*,35,2984,682,33,2798,76,35,2984,184,--,--,56,502,56,509,--,--,30
"$100,000 or more     ",74,185,45,18931,60,5096,64,948,51,408,53,2833,21,586,*,*,*,*,--,--,53,14913,1582,52,14750,281,53,14913,602,10,28,74,3388,73,3472,--,--,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98832,77,171,50,2601,59,1455,38,18,15,5,17,43,*,*,*,*,--,--,--,--,11,464,127,*,*,*,*,*,*,--,--,53,173,51,156,10,4,49
"Under $10,000        ",21,25,1,119,16,69,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,*,*,*,--,--,--,--,--,*,*,*,*,10,4,12
"$10,000 under $25,000",16,27,4,277,12,188,19,10,15,5,*,*,*,*,--,--,--,--,--,--,11,464,127,*,*,*,*,*,*,--,--,15,10,18,11,*,*,10
"$25,000 under $50,000",21,57,21,824,16,567,19,8,*,*,17,43,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,20,50,16,42,--,--,15
"$50,000 under $75,000",19,62,24,1381,15,631,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,18,113,17,103,--,--,12
"$75,000 under $100,000",*,*,*,*,*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",*,*,*,*,*,*,*,*,--,--,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,--,--,--,--,--,*,*,*,*,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98833,51,100,18,2595,36,912,32,43,23,96,25,39,11,127,--,--,*,*,--,--,13,1399,193,*,*,*,13,1285,74,*,*,47,278,46,311,*,*,28
"Under $10,000        ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$10,000 under $25,000",16,26,3,260,15,212,*,*,*,*,*,*,11,127,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,12,9,13,14,*,*,*
"$25,000 under $50,000",23,45,8,836,21,700,32,43,23,96,25,39,*,*,--,--,*,*,--,--,13,1399,193,*,*,*,13,1285,74,--,--,23,57,21,79,--,--,28
"$50,000 under $75,000",12,29,7,1499,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,12,212,12,218,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",*,*,*,*,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,--,--,*
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98834,85,153,28,2612,63,1697,39,20,13,3,11,20,14,59,*,*,--,--,--,--,12,649,137,*,*,*,12,637,31,--,--,61,214,64,234,*,*,35
"Under $10,000        ",24,33,3,78,14,55,16,6,*,*,11,20,14,59,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,16
"$10,000 under $25,000",19,29,5,337,16,220,*,*,13,3,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,14,23,22,*,*,*
"$25,000 under $50,000",25,55,14,940,20,648,12,2,*,*,*,*,*,*,*,*,--,--,--,--,12,649,137,*,*,*,12,637,31,--,--,25,61,24,65,*,*,19
"$50,000 under $75,000",17,36,6,1257,13,774,11,12,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,17,139,17,147,--,--,*
"$75,000 under $100,000",*,*,*,*,*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,*,*,*,*,--,--,*
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98836,397,991,411,13420,355,10203,131,161,49,94,45,380,27,150,17,88,*,*,--,--,70,4624,1045,47,3183,73,69,4309,255,--,--,273,1286,220,1275,111,225,193
"Under $10,000        ",93,153,44,325,79,436,23,15,*,*,*,*,*,*,*,*,--,--,--,--,12,178,168,*,*,*,14,135,33,--,--,19,3,22,5,33,43,40
"$10,000 under $25,000",137,328,152,2356,123,2042,27,25,22,12,21,21,17,112,*,*,*,*,--,--,*,*,*,*,*,*,*,*,*,--,--,88,64,67,62,59,159,59
"$25,000 under $50,000",94,303,143,3349,90,3047,32,28,*,*,*,*,*,*,17,88,*,*,--,--,19,750,233,19,538,29,19,750,39,--,--,93,183,59,149,19,23,48
"$50,000 under $75,000",38,102,35,2289,33,1731,20,8,16,9,13,10,10,38,*,*,--,--,--,--,15,902,202,18,1290,22,23,1625,89,--,--,38,221,37,198,--,--,20
"$75,000 under $100,000",15,45,16,1301,14,1124,12,13,*,*,*,*,--,--,*,*,*,*,--,--,10,871,181,*,*,*,*,*,*,--,--,15,141,15,154,--,--,10
"$100,000 or more     ",20,60,21,3800,16,1823,17,72,11,73,11,349,*,*,*,*,--,--,--,--,14,1923,261,10,1355,22,13,1799,94,--,--,20,674,20,707,--,--,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98837,13534,31055,11364,507397,11728,392106,4638,8755,2178,5257,2062,16292,1625,15900,345,1292,271,914,46,684,3247,229277,54150,2540,189937,9036,3228,224514,13159,79,216,10199,49604,9268,47882,2853,5027,7319
"Under $10,000        ",2846,4317,1133,5672,2306,12625,582,590,313,330,295,22,239,-353,53,32,*,*,--,--,98,608,1421,62,400,91,130,-2033,297,--,--,621,93,803,317,980,1171,1337
"$10,000 under $25,000",3619,7379,2740,62007,3048,49313,856,1275,374,598,352,345,361,2184,69,-350,40,87,--,--,305,5523,4266,202,3727,446,288,5244,801,*,*,2575,1920,2185,2076,1349,3397,2046
"$25,000 under $50,000",3552,8877,3541,128283,3205,107944,1124,1406,447,745,429,963,422,2609,77,-387,84,220,--,--,887,33942,11627,630,24286,1412,866,33215,2537,--,--,3488,8587,2848,7409,524,459,1897
"$50,000 under $75,000",1943,5630,2109,118711,1759,97349,979,1353,448,853,411,1170,309,2876,70,-132,60,204,17,82,879,54256,13820,707,43748,2018,871,53750,3395,16,32,1942,10699,1867,9550,--,--,1086
"$75,000 under $100,000",880,2774,1090,75186,808,61308,540,848,274,511,237,1719,149,2390,29,-207,34,137,*,*,564,48557,10445,473,40800,1626,561,48318,2961,*,*,879,7951,872,7538,--,--,480
"$100,000 or more     ",694,2078,751,117538,602,63567,557,3283,322,2220,338,12073,145,6194,47,2336,53,266,29,602,514,86391,12571,466,76976,3443,512,86020,3168,63,184,694,20354,693,20992,--,--,473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98840,1774,3748,1147,62426,1459,45213,690,1156,364,634,324,1295,206,1784,109,-385,46,136,*,*,280,19649,4131,197,15394,516,286,19460,1033,*,*,1298,6452,1238,6456,387,656,865
"Under $10,000        ",386,562,102,1112,284,1640,95,133,59,62,53,53,41,198,32,-155,--,--,--,--,12,72,147,*,*,*,19,-28,50,--,--,70,9,111,44,142,141,184
"$10,000 under $25,000",519,1028,352,8744,417,6553,146,176,71,104,49,72,52,251,20,-90,*,*,--,--,37,668,508,30,440,45,37,668,77,--,--,365,255,329,284,182,465,265
"$25,000 under $50,000",458,1037,332,16409,396,12737,188,300,95,132,91,162,53,357,22,39,27,68,--,--,75,2898,1045,48,1831,123,75,2898,207,--,--,452,1133,392,1045,63,50,212
"$50,000 under $75,000",247,662,212,14887,219,11381,135,185,67,128,61,119,32,554,22,-90,19,68,--,--,73,4390,1006,53,3155,132,73,4390,242,--,--,247,1413,242,1343,--,--,116
"$75,000 under $100,000",98,276,88,8411,87,6515,70,106,39,38,34,15,17,471,13,-89,--,--,*,*,41,3528,764,30,2547,78,40,3439,177,*,*,98,952,98,968,--,--,49
"$100,000 or more     ",66,183,61,12863,56,6387,56,256,33,170,36,874,11,-47,*,*,*,*,*,*,42,8093,661,36,7421,138,42,8093,280,*,*,66,2690,66,2772,--,--,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98841,3608,7632,2532,112962,3055,87652,1151,2230,601,1340,543,2776,375,3902,137,-893,96,268,10,118,516,31225,7760,344,23174,1013,519,30592,1700,*,*,2615,9873,2430,9752,890,1577,1810
"Under $10,000        ",824,1232,279,2511,638,3789,172,298,93,136,100,-61,60,-267,29,-209,*,*,--,--,26,141,392,13,84,17,37,-165,89,--,--,155,25,233,87,315,367,344
"$10,000 under $25,000",1161,2271,796,19962,958,15173,285,447,135,202,116,117,99,759,27,-154,21,39,--,--,79,1421,1062,38,683,62,77,1387,207,--,--,847,640,721,705,434,1087,622
"$25,000 under $50,000",908,2099,764,32320,812,26463,290,327,152,204,127,220,105,734,30,-306,34,75,--,--,154,5905,2112,95,3693,245,149,5698,423,--,--,898,2227,771,1999,141,123,466
"$50,000 under $75,000",425,1188,409,26002,386,20950,204,504,109,199,94,430,61,665,38,-315,18,48,10,118,120,7494,1827,88,5493,285,120,7494,398,--,--,425,2421,415,2234,--,--,215
"$75,000 under $100,000",173,508,180,14592,159,11454,105,199,50,226,43,521,23,410,*,*,10,37,*,*,71,6046,1017,55,4685,138,70,5960,252,--,--,173,1635,173,1586,--,--,77
"$100,000 or more     ",117,334,104,17575,102,9823,95,455,62,373,63,1549,27,1601,13,91,13,69,*,*,66,10218,1350,55,8536,266,66,10218,331,*,*,117,2925,117,3141,--,--,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98843,493,1320,548,21006,437,13977,207,395,80,159,74,195,39,533,21,17,21,77,--,--,99,7244,1826,85,6208,171,100,7171,490,*,*,366,2493,283,2491,118,238,253
"Under $10,000        ",84,138,38,185,70,564,18,7,11,1,13,-13,*,*,*,*,--,--,--,--,*,*,*,14,207,36,*,*,*,--,--,16,3,19,6,22,37,38
"$10,000 under $25,000",161,406,189,2864,150,2665,40,40,10,27,*,*,*,*,*,*,*,*,--,--,16,237,255,*,*,*,17,164,36,--,--,109,66,65,59,69,177,64
"$25,000 under $50,000",129,435,205,4605,118,3754,59,88,17,31,18,51,25,137,*,*,*,*,--,--,23,879,297,18,678,30,23,879,70,--,--,123,236,84,189,27,24,76
"$50,000 under $75,000",51,163,68,3033,45,2147,32,36,10,8,12,33,14,396,21,17,21,77,--,--,17,1038,339,14,840,22,17,1038,90,--,--,50,253,48,266,--,--,30
"$75,000 under $100,000",32,83,22,2750,24,1762,26,71,13,65,13,32,*,*,*,*,--,--,--,--,19,1681,379,19,1681,45,19,1681,104,--,--,32,286,31,285,--,--,19
"$100,000 or more     ",36,95,26,7569,30,3085,32,153,19,27,18,92,*,*,*,*,*,*,--,--,24,3409,556,20,2802,38,24,3409,190,*,*,36,1649,36,1686,--,--,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98844,1729,3639,1095,46869,1364,33834,650,1298,292,769,310,1650,270,2588,142,-1515,46,189,*,*,207,11674,3422,140,8498,468,214,11533,744,*,*,1116,4351,1068,4544,439,746,878
"Under $10,000        ",501,757,149,-523,343,1805,134,215,63,88,80,-13,82,65,45,-1261,11,28,--,--,18,99,289,*,*,*,25,-42,59,--,--,65,6,128,57,174,185,241
"$10,000 under $25,000",536,1071,350,8898,441,6770,158,226,60,96,55,70,67,467,35,-132,*,*,--,--,29,545,345,29,423,69,29,545,53,--,--,364,255,333,315,193,498,254
"$25,000 under $50,000",403,1036,356,14293,339,10655,167,294,64,132,69,166,68,817,30,-66,12,41,--,--,61,2215,875,40,1446,117,61,2215,186,--,--,399,884,325,858,72,63,213
"$50,000 under $75,000",176,484,160,10690,151,7830,101,247,51,171,50,345,37,309,16,-109,13,68,--,--,46,2823,799,31,1910,147,46,2823,161,--,--,176,966,170,901,--,--,95
"$75,000 under $100,000",64,156,39,5451,49,3240,46,91,28,220,25,469,*,*,16,53,10,52,--,--,29,2429,586,20,1709,59,29,2429,141,--,--,63,599,63,613,--,--,41
"$100,000 or more     ",49,135,41,8060,41,3534,44,225,26,62,31,613,16,930,*,*,*,*,*,*,24,3563,528,20,3010,76,24,3563,144,*,*,49,1641,49,1800,--,--,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98845,59,107,17,1394,48,1080,23,28,10,2,*,*,*,*,*,*,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,40,87,40,99,*,*,33
"Under $10,000        ",15,22,3,59,10,50,*,*,10,2,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,*,*,*
"$10,000 under $25,000",22,37,6,369,18,330,23,28,*,*,*,*,*,*,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,12,18,13,--,--,18
"$25,000 under $50,000",22,48,8,966,20,700,*,*,*,*,*,*,*,*,*,*,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,22,75,22,86,--,--,15
"$50,000 under $75,000",*,*,*,*,*,*,*,*,*,*,*,*,--,--,*,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,*,*,*,*,--,--,*
"$75,000 under $100,000",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"$100,000 or more     ",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98846,453,1055,383,15212,386,11491,182,268,77,122,71,468,54,259,17,-142,10,31,--,--,76,4426,1143,46,2856,44,77,4435,259,--,--,329,1256,295,1193,105,195,212
"Under $10,000        ",84,122,30,297,66,284,24,13,10,9,20,26,*,*,*,*,10,31,--,--,--,--,--,*,*,*,*,*,*,--,--,14,1,20,7,30,38,29
"$10,000 under $25,000",155,344,136,2680,131,2101,42,85,19,33,*,*,22,9,--,--,*,*,--,--,15,250,234,14,333,9,16,259,45,--,--,103,67,88,70,55,138,69
"$25,000 under $50,000",115,311,119,4005,102,3167,50,116,22,38,24,82,16,166,17,-142,*,*,--,--,18,620,216,*,*,*,18,620,48,--,--,113,240,89,220,20,19,56
"$50,000 under $75,000",51,128,41,3068,44,2226,33,36,11,20,13,39,16,84,*,*,*,*,--,--,22,1293,352,15,884,14,22,1293,72,--,--,51,284,50,262,--,--,28
"$75,000 under $100,000",28,82,27,2440,26,1929,19,4,15,22,14,321,*,*,*,*,--,--,--,--,21,2263,341,17,1639,21,21,2263,94,--,--,28,280,28,263,--,--,18
"$100,000 or more     ",20,68,30,2722,17,1784,14,14,*,*,*,*,*,*,--,--,--,--,--,--,*,*,*,*,*,*,*,*,*,--,--,20,384,20,371,--,--,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98847,831,1842,672,26224,720,19620,310,505,128,306,101,490,93,678,26,-182,24,73,--,--,146,9644,2321,109,7767,253,148,9471,545,*,*,616,2379,541,2398,171,318,382
"Under $10,000        ",185,247,47,164,144,745,40,36,18,39,13,-30,16,6,12,-191,--,--,--,--,*,*,*,--,--,--,*,*,*,--,--,48,7,61,30,41,49,70
"$10,000 under $25,000",277,569,224,4814,248,4034,75,73,21,27,16,-10,20,181,*,*,*,*,--,--,18,290,217,11,182,13,22,193,59,--,--,204,159,167,172,96,241,112
"$25,000 under $50,000",208,554,229,7425,188,6094,83,137,36,31,31,11,31,239,14,9,24,73,--,--,52,2006,789,38,1483,64,51,1980,142,--,--,203,459,155,413,34,28,107
"$50,000 under $75,000",99,296,116,5934,88,4391,68,141,26,26,26,101,13,134,*,*,--,--,--,--,37,2220,563,26,1572,48,36,2170,121,--,--,99,537,96,492,--,--,51
"$75,000 under $100,000",31,78,19,2632,26,1822,20,28,11,14,*,*,13,118,*,*,*,*,--,--,20,1704,328,18,1527,82,20,1704,74,--,--,31,291,31,336,--,--,21
"$100,000 or more     ",31,98,37,5255,26,2534,24,90,16,169,15,418,*,*,*,*,*,*,--,--,19,3424,424,16,3003,46,19,3424,149,*,*,31,926,31,955,--,--,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98848,3591,9123,3763,118776,3096,87101,1272,3395,654,2725,610,8349,392,2656,200,1793,65,221,19,213,608,43010,10200,492,37234,2640,631,38345,2381,13,74,2598,12540,2210,12544,790,1522,2335
"Under $10,000        ",746,1199,321,-10137,617,3929,195,342,90,127,108,14,59,89,49,157,--,--,--,--,27,171,367,19,127,30,52,-4391,125,--,--,151,24,214,98,217,310,416
"$10,000 under $25,000",1057,2567,1175,18376,916,14996,222,338,112,144,93,135,85,582,33,113,*,*,--,--,75,1306,947,59,1034,153,75,1306,210,--,--,688,473,522,524,400,1064,721
"$25,000 under $50,000",1018,3069,1428,36401,910,28978,353,547,147,305,130,198,125,1116,38,344,24,73,*,*,166,6369,2267,123,4696,371,166,6369,459,--,--,991,2141,723,1808,173,148,701
"$50,000 under $75,000",422,1279,495,25551,380,19550,218,363,112,266,94,171,64,351,33,308,14,40,19,213,146,8857,2105,116,7108,354,144,8754,509,--,--,421,2290,404,2127,--,--,235
"$75,000 under $100,000",174,521,185,14882,146,9376,132,424,76,337,74,828,32,572,23,324,10,36,*,*,86,7433,1576,80,6898,398,86,7433,408,--,--,173,1561,173,1600,--,--,113
"$100,000 or more     ",174,488,159,33703,127,10272,152,1381,117,1546,111,7003,27,-54,24,547,17,72,*,*,108,18874,2938,95,17371,1334,108,18874,670,13,74,174,6051,174,6387,--,--,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98849,345,713,191,10513,272,7344,118,106,59,18,47,98,50,160,34,-204,*,*,--,--,53,3217,883,29,1744,28,52,3193,198,--,--,245,768,243,811,78,135,188
"Under $10,000        ",79,129,31,313,54,266,19,9,*,*,*,*,*,*,11,-54,--,--,--,--,10,177,142,*,*,*,*,*,*,--,--,14,2,27,15,35,39,33
"$10,000 under $25,000",106,206,60,1812,78,1217,32,33,21,11,29,38,19,-34,*,*,--,--,--,--,*,*,*,12,351,9,*,*,*,--,--,73,56,72,75,31,84,62
